Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.030	
381.30	0.030	
382.20	0.031	
383.10	0.031	
384.00	0.032	
384.90	0.033	
385.80	0.033	
386.70	0.034	
387.60	0.035	
388.50	0.036	
389.40	0.037	
390.20	0.038	
391.10	0.039	
392.00	0.039	
392.90	0.040	
393.80	0.041	
394.70	0.042	
395.60	0.043	
396.50	0.044	
397.40	0.045	
398.30	0.047	
399.10	0.049	
400.00	0.052	
400.90	0.055	
401.80	0.059	
402.70	0.063	
403.60	0.067	
404.50	0.071	
405.40	0.074	
406.30	0.079	
407.20	0.082	
408.00	0.085	
408.90	0.088	
409.80	0.091	
410.70	0.094	
411.60	0.095	
412.50	0.095	
413.40	0.098	
414.30	0.102	
415.20	0.103	
416.00	0.104	
416.90	0.107	
417.80	0.110	
418.70	0.113	
419.60	0.115	
420.50	0.118	
421.40	0.120	
422.30	0.123	
423.20	0.127	
424.10	0.130	
424.90	0.134	
425.80	0.137	
426.70	0.140	
427.60	0.144	
428.50	0.148	
429.40	0.151	
430.30	0.154	
431.20	0.158	
432.10	0.160	
433.00	0.163	
433.80	0.163	
434.70	0.163	
435.60	0.160	
436.50	0.156	
437.40	0.151	
438.30	0.144	
439.20	0.137	
440.10	0.131	
441.00	0.126	
441.90	0.122	
442.70	0.120	
443.60	0.118	
444.50	0.118	
445.40	0.118	
446.30	0.118	
447.20	0.118	
448.10	0.119	
449.00	0.119	
449.90	0.119	
450.80	0.119	
451.60	0.120	
452.50	0.120	
453.40	0.120	
454.30	0.120	
455.20	0.120	
456.10	0.121	
457.00	0.121	
457.90	0.122	
458.80	0.123	
459.60	0.124	
460.50	0.125	
461.40	0.127	
462.30	0.129	
463.20	0.131	
464.10	0.133	
465.00	0.136	
465.90	0.138	
466.80	0.141	
467.70	0.144	
468.50	0.147	
469.40	0.150	
470.30	0.153	
471.20	0.156	
472.10	0.158	
473.00	0.160	
473.90	0.162	
474.80	0.164	
475.70	0.166	
476.60	0.167	
477.40	0.168	
478.30	0.168	
479.20	0.168	
480.10	0.168	
481.00	0.167	
481.90	0.166	
482.80	0.165	
483.70	0.163	
484.60	0.161	
485.50	0.159	
486.30	0.156	
487.20	0.154	
488.10	0.150	
489.00	0.148	
489.90	0.145	
490.80	0.143	
491.70	0.140	
492.60	0.138	
493.50	0.137	
494.40	0.135	
495.20	0.134	
496.10	0.133	
497.00	0.131	
497.90	0.131	
498.80	0.130	
499.70	0.130	
500.60	0.131	
501.50	0.132	
502.40	0.132	
503.20	0.134	
504.10	0.136	
505.00	0.138	
505.90	0.140	
506.80	0.143	
507.70	0.145	
508.60	0.147	
509.50	0.149	
510.40	0.152	
511.30	0.155	
512.20	0.157	
513.00	0.159	
513.80	0.162	
514.60	0.164	
515.50	0.167	
516.30	0.169	
517.10	0.171	
517.90	0.173	
518.80	0.175	
519.60	0.177	
520.40	0.178	
521.20	0.180	
522.10	0.181	
522.90	0.182	
523.70	0.183	
524.50	0.184	
525.40	0.184	
526.20	0.185	
527.00	0.185	
527.80	0.185	
528.70	0.185	
529.50	0.185	
530.30	0.184	
531.10	0.184	
532.00	0.185	
532.80	0.187	
533.60	0.192	
534.50	0.202	
535.30	0.220	
536.10	0.243	
536.90	0.278	
537.80	0.335	
538.60	0.391	
539.40	0.448	
540.20	0.492	
541.10	0.501	
541.90	0.487	
542.70	0.456	
543.50	0.402	
544.40	0.345	
545.20	0.285	
546.00	0.232	
546.80	0.208	
547.70	0.201	
548.50	0.198	
549.30	0.198	
550.10	0.198	
551.00	0.201	
551.80	0.203	
552.60	0.205	
553.50	0.207	
554.30	0.210	
555.10	0.213	
555.90	0.216	
556.80	0.219	
557.60	0.224	
558.40	0.229	
559.20	0.233	
560.10	0.237	
560.90	0.244	
561.70	0.249	
562.50	0.254	
563.40	0.259	
564.20	0.264	
565.00	0.271	
565.80	0.276	
566.70	0.280	
567.50	0.286	
568.30	0.291	
569.10	0.297	
570.00	0.305	
570.80	0.317	
571.60	0.340	
572.40	0.361	
573.30	0.375	
574.10	0.392	
574.90	0.402	
575.80	0.398	
576.60	0.384	
577.40	0.359	
578.20	0.332	
579.10	0.312	
579.90	0.286	
580.70	0.265	
581.50	0.255	
582.40	0.249	
583.20	0.243	
584.00	0.237	
584.80	0.230	
585.70	0.225	
586.50	0.221	
587.30	0.216	
588.10	0.210	
588.90	0.204	
589.60	0.198	
590.40	0.194	
591.10	0.189	
591.90	0.182	
592.60	0.176	
593.40	0.172	
594.10	0.166	
594.90	0.161	
595.60	0.156	
596.40	0.151	
597.10	0.146	
597.90	0.141	
598.60	0.137	
599.40	0.133	
600.10	0.129	
600.90	0.125	
601.60	0.122	
602.40	0.118	
603.10	0.115	
603.90	0.112	
604.60	0.110	
605.40	0.107	
606.10	0.104	
606.90	0.102	
607.70	0.099	
608.40	0.097	
609.20	0.095	
609.90	0.092	
610.70	0.091	
611.40	0.089	
612.20	0.087	
612.90	0.086	
613.70	0.084	
614.40	0.083	
615.20	0.080	
615.90	0.079	
616.70	0.078	
617.40	0.077	
618.20	0.074	
618.90	0.073	
619.70	0.072	
620.40	0.071	
621.20	0.070	
621.90	0.069	
622.70	0.067	
623.40	0.067	
624.20	0.066	
624.90	0.066	
625.70	0.065	
626.40	0.065	
627.20	0.064	
627.90	0.063	
628.70	0.062	
629.40	0.061	
630.20	0.060	
630.90	0.059	
631.70	0.058	
632.40	0.057	
633.20	0.056	
633.90	0.055	
634.70	0.053	
635.40	0.052	
636.20	0.051	
636.90	0.049	
637.70	0.048	
638.40	0.047	
639.20	0.045	
639.90	0.044	
640.70	0.043	
641.40	0.042	
642.20	0.041	
642.90	0.040	
643.70	0.039	
644.50	0.038	
645.20	0.038	
646.00	0.037	
646.70	0.036	
647.50	0.035	
648.20	0.035	
649.00	0.034	
649.70	0.034	
650.50	0.033	
651.20	0.033	
652.00	0.032	
652.70	0.032	
653.50	0.031	
654.20	0.031	
655.00	0.030	
655.70	0.029	
656.50	0.029	
657.20	0.029	
658.00	0.028	
658.70	0.028	
659.50	0.027	
660.20	0.027	
661.00	0.027	
661.70	0.027	
662.50	0.026	
663.20	0.026	
664.00	0.026	
664.70	0.026	
665.50	0.026	
666.20	0.026	
667.00	0.026	
667.80	0.026	
668.50	0.025	
669.30	0.025	
670.00	0.025	
670.80	0.025	
671.60	0.025	
672.30	0.025	
673.10	0.025	
673.90	0.025	
674.60	0.025	
675.40	0.025	
676.20	0.025	
676.90	0.024	
677.70	0.024	
678.50	0.024	
679.20	0.024	
680.00	0.024	
680.70	0.024	
681.50	0.024	
682.30	0.024	
683.00	0.023	
683.80	0.023	
684.60	0.023	
685.30	0.023	
686.10	0.023	
686.90	0.023	
687.60	0.023	
688.40	0.023	
689.20	0.023	
689.90	0.023	
690.70	0.023	
691.50	0.023	
692.20	0.023	
693.00	0.023	
693.70	0.023	
694.50	0.023	
695.30	0.023	
696.00	0.023	
696.80	0.023	
697.60	0.022	
698.30	0.022	
699.10	0.022	
699.90	0.022	
700.60	0.022	
701.40	0.022	
702.20	0.022	
702.90	0.022	
703.70	0.022	
704.50	0.022	
705.20	0.021	
706.00	0.022	
706.80	0.022	
707.50	0.021	
708.30	0.021	
709.10	0.022	
709.90	0.021	
710.70	0.021	
711.50	0.021	
712.20	0.021	
713.00	0.021	
713.80	0.021	
714.60	0.020	
715.40	0.020	
716.20	0.020	
716.90	0.020	
717.70	0.020	
718.50	0.020	
719.30	0.020	
720.10	0.020	
720.90	0.019	
721.60	0.019	
722.40	0.019	
723.20	0.019	
724.00	0.019	
724.80	0.019	
725.60	0.019	
726.30	0.019	
727.10	0.019	
727.90	0.019	
728.70	0.019	
729.50	0.019	
730.30	0.019	
731.00	0.019	
731.80	0.019	
732.60	0.019	
733.40	0.018	
734.20	0.019	
735.00	0.018	
735.70	0.018	
736.50	0.018	
737.30	0.018	
738.10	0.018	
738.90	0.018	
739.70	0.018	
740.40	0.018	
741.20	0.018	
742.00	0.018	
742.80	0.019	
743.60	0.019	
744.40	0.018	
745.10	0.018	
745.90	0.018	
746.70	0.018	
747.50	0.018	
748.30	0.018	
749.10	0.018	
749.80	0.018	
750.60	0.018	
751.40	0.018	
752.20	0.018	
753.00	0.019	
753.80	0.019	
754.50	0.019	
755.30	0.019	
756.10	0.018	
756.90	0.018	
757.70	0.018	
758.50	0.018	
759.30	0.018	
760.00	0.018	
760.80	0.018	
761.60	0.018	
762.40	0.018	
763.20	0.018	
764.00	0.018	
764.70	0.018	
765.50	0.018	
766.30	0.018	
767.10	0.018	
767.90	0.018	
768.70	0.018	
769.40	0.018	
770.20	0.018	
771.00	0.018	
771.80	0.018	
772.60	0.018	
773.40	0.018	
774.10	0.018	
774.90	0.018	
775.70	0.018	
776.50	0.018	
777.30	0.018	
778.10	0.018	
778.80	0.018	
779.60	0.018	
780.40	0.018	
781.20	0.018	
782.00	0.018	
782.80	0.018	
783.50	0.018	
784.30	0.018	
785.10	0.018	
785.90	0.018	
786.70	0.018	
787.50	0.017	
788.20	0.018	
789.00	0.017	
789.80	0.017	
790.60	0.017	
791.40	0.017	
792.20	0.017	
792.90	0.018	
793.70	0.018	
794.50	0.018	
795.30	0.018	
796.10	0.018	
796.90	0.018	
797.60	0.017	
798.40	0.017	
799.20	0.017	
800.00	0.017	
800.80	0.017	
801.60	0.017	
802.30	0.017	
803.10	0.017	
803.90	0.017	
804.70	0.017	
805.50	0.017	
806.30	0.017	
807.10	0.017	
807.80	0.017	
808.60	0.018	
809.40	0.017	
810.20	0.017	
811.00	0.017	
811.80	0.017	
812.50	0.017	
813.30	0.017	
814.10	0.017	
814.90	0.017	
815.70	0.017	
816.50	0.017	
817.20	0.017	
818.00	0.017	
818.80	0.017	
819.60	0.017	
820.40	0.017	
821.20	0.017	
821.90	0.017	
822.70	0.017	
823.50	0.018	
824.30	0.018	
825.10	0.018	
825.90	0.018	
826.60	0.018	
827.40	0.018	
828.20	0.018	
829.00	0.017	
829.80	0.017	
830.60	0.017	
831.30	0.017	
832.20	0.017	
833.00	0.017	
833.80	0.017	
834.60	0.017	
835.50	0.017	
836.30	0.017	
837.10	0.017	
838.00	0.017	
838.80	0.017	
839.60	0.017	
840.50	0.017	
841.30	0.017	
842.10	0.017	
842.90	0.017	
843.80	0.017	
844.60	0.017	
845.40	0.017	
846.30	0.017	
847.10	0.017	
847.90	0.017	
848.80	0.017	
849.60	0.017	
850.40	0.017	
851.30	0.017	
852.10	0.017	
852.90	0.017	
853.70	0.017	
854.60	0.017	
855.40	0.017	
856.20	0.017	
857.10	0.017	
857.90	0.017	
858.70	0.017	
859.60	0.017	
860.40	0.017	
861.20	0.017	
862.10	0.017	
862.90	0.017	
863.70	0.016	
864.50	0.016	
865.40	0.016	
866.20	0.016	
867.00	0.016	
867.90	0.016	
868.70	0.017	
869.50	0.017	
870.40	0.017	
871.20	0.017	
872.00	0.017	
872.80	0.017	
873.70	0.017	
874.50	0.017	
875.30	0.017	
876.20	0.017	
877.00	0.016	
877.80	0.016	
878.70	0.017	
879.50	0.016	
880.30	0.017	
881.20	0.016	
882.00	0.016	
882.80	0.016	
883.60	0.016	
884.50	0.016	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.016	
892.80	0.016	
893.60	0.016	
894.40	0.016	
895.30	0.016	
896.10	0.016	
896.90	0.016	
897.80	0.016	
898.60	0.016	
899.40	0.016	
