Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.108	
381.30	0.112	
382.20	0.116	
383.10	0.121	
384.00	0.129	
384.90	0.138	
385.80	0.147	
386.70	0.158	
387.60	0.168	
388.50	0.179	
389.40	0.190	
390.20	0.201	
391.10	0.212	
392.00	0.224	
392.90	0.235	
393.80	0.247	
394.70	0.259	
395.60	0.271	
396.50	0.283	
397.40	0.295	
398.30	0.307	
399.10	0.320	
400.00	0.332	
400.90	0.345	
401.80	0.357	
402.70	0.370	
403.60	0.383	
404.50	0.397	
405.40	0.410	
406.30	0.424	
407.20	0.438	
408.00	0.452	
408.90	0.466	
409.80	0.481	
410.70	0.497	
411.60	0.512	
412.50	0.528	
413.40	0.545	
414.30	0.562	
415.20	0.579	
416.00	0.595	
416.90	0.612	
417.80	0.629	
418.70	0.643	
419.60	0.659	
420.50	0.672	
421.40	0.684	
422.30	0.696	
423.20	0.707	
424.10	0.717	
424.90	0.727	
425.80	0.735	
426.70	0.744	
427.60	0.753	
428.50	0.761	
429.40	0.770	
430.30	0.779	
431.20	0.788	
432.10	0.798	
433.00	0.808	
433.80	0.819	
434.70	0.829	
435.60	0.840	
436.50	0.851	
437.40	0.861	
438.30	0.872	
439.20	0.882	
440.10	0.890	
441.00	0.899	
441.90	0.905	
442.70	0.910	
443.60	0.915	
444.50	0.918	
445.40	0.920	
446.30	0.921	
447.20	0.920	
448.10	0.919	
449.00	0.917	
449.90	0.913	
450.80	0.910	
451.60	0.906	
452.50	0.901	
453.40	0.896	
454.30	0.892	
455.20	0.890	
456.10	0.886	
457.00	0.883	
457.90	0.882	
458.80	0.881	
459.60	0.883	
460.50	0.885	
461.40	0.887	
462.30	0.890	
463.20	0.896	
464.10	0.901	
465.00	0.909	
465.90	0.916	
466.80	0.924	
467.70	0.933	
468.50	0.942	
469.40	0.950	
470.30	0.958	
471.20	0.966	
472.10	0.973	
473.00	0.979	
473.90	0.983	
474.80	0.987	
475.70	0.989	
476.60	0.989	
477.40	0.987	
478.30	0.984	
479.20	0.980	
480.10	0.974	
481.00	0.967	
481.90	0.959	
482.80	0.950	
483.70	0.940	
484.60	0.929	
485.50	0.918	
486.30	0.906	
487.20	0.894	
488.10	0.882	
489.00	0.869	
489.90	0.857	
490.80	0.845	
491.70	0.834	
492.60	0.822	
493.50	0.812	
494.40	0.802	
495.20	0.794	
496.10	0.787	
497.00	0.781	
497.90	0.778	
498.80	0.777	
499.70	0.777	
500.60	0.780	
501.50	0.782	
502.40	0.786	
503.20	0.791	
504.10	0.796	
505.00	0.802	
505.90	0.808	
506.80	0.816	
507.70	0.823	
508.60	0.831	
509.50	0.840	
510.40	0.848	
511.30	0.855	
512.20	0.863	
513.00	0.872	
513.80	0.882	
514.60	0.892	
515.50	0.900	
516.30	0.909	
517.10	0.919	
517.90	0.928	
518.80	0.932	
519.60	0.937	
520.40	0.939	
521.20	0.941	
522.10	0.942	
522.90	0.943	
523.70	0.941	
524.50	0.942	
525.40	0.940	
526.20	0.935	
527.00	0.928	
527.80	0.919	
528.70	0.909	
529.50	0.896	
530.30	0.879	
531.10	0.862	
532.00	0.847	
532.80	0.830	
533.60	0.812	
534.50	0.795	
535.30	0.780	
536.10	0.765	
536.90	0.751	
537.80	0.741	
538.60	0.731	
539.40	0.722	
540.20	0.715	
541.10	0.709	
541.90	0.705	
542.70	0.700	
543.50	0.697	
544.40	0.695	
545.20	0.694	
546.00	0.692	
546.80	0.691	
547.70	0.693	
548.50	0.693	
549.30	0.691	
550.10	0.690	
551.00	0.690	
551.80	0.689	
552.60	0.687	
553.50	0.685	
554.30	0.686	
555.10	0.688	
555.90	0.689	
556.80	0.692	
557.60	0.697	
558.40	0.701	
559.20	0.704	
560.10	0.707	
560.90	0.714	
561.70	0.718	
562.50	0.720	
563.40	0.721	
564.20	0.725	
565.00	0.730	
565.80	0.733	
566.70	0.735	
567.50	0.740	
568.30	0.745	
569.10	0.748	
570.00	0.748	
570.80	0.748	
571.60	0.749	
572.40	0.746	
573.30	0.740	
574.10	0.735	
574.90	0.732	
575.80	0.730	
576.60	0.725	
577.40	0.719	
578.20	0.714	
579.10	0.710	
579.90	0.702	
580.70	0.691	
581.50	0.679	
582.40	0.667	
583.20	0.651	
584.00	0.630	
584.80	0.606	
585.70	0.583	
586.50	0.565	
587.30	0.549	
588.10	0.534	
588.90	0.522	
589.60	0.516	
590.40	0.514	
591.10	0.514	
591.90	0.511	
592.60	0.508	
593.40	0.507	
594.10	0.503	
594.90	0.503	
595.60	0.502	
596.40	0.502	
597.10	0.501	
597.90	0.499	
598.60	0.498	
599.40	0.498	
600.10	0.497	
600.90	0.496	
601.60	0.493	
602.40	0.490	
603.10	0.488	
603.90	0.487	
604.60	0.484	
605.40	0.481	
606.10	0.477	
606.90	0.475	
607.70	0.474	
608.40	0.474	
609.20	0.473	
609.90	0.474	
610.70	0.474	
611.40	0.474	
612.20	0.476	
612.90	0.479	
613.70	0.480	
614.40	0.478	
615.20	0.477	
615.90	0.477	
616.70	0.480	
617.40	0.482	
618.20	0.480	
618.90	0.479	
619.70	0.483	
620.40	0.487	
621.20	0.491	
621.90	0.493	
622.70	0.492	
623.40	0.496	
624.20	0.500	
624.90	0.504	
625.70	0.507	
626.40	0.510	
627.20	0.513	
627.90	0.517	
628.70	0.522	
629.40	0.527	
630.20	0.532	
630.90	0.536	
631.70	0.541	
632.40	0.548	
633.20	0.556	
633.90	0.560	
634.70	0.560	
635.40	0.559	
636.20	0.556	
636.90	0.552	
637.70	0.546	
638.40	0.538	
639.20	0.530	
639.90	0.524	
640.70	0.518	
641.40	0.510	
642.20	0.501	
642.90	0.491	
643.70	0.480	
644.50	0.471	
645.20	0.461	
646.00	0.451	
646.70	0.444	
647.50	0.439	
648.20	0.434	
649.00	0.429	
649.70	0.423	
650.50	0.418	
651.20	0.413	
652.00	0.408	
652.70	0.401	
653.50	0.394	
654.20	0.388	
655.00	0.384	
655.70	0.380	
656.50	0.377	
657.20	0.373	
658.00	0.371	
658.70	0.369	
659.50	0.368	
660.20	0.365	
661.00	0.361	
661.70	0.358	
662.50	0.356	
663.20	0.353	
664.00	0.351	
664.70	0.349	
665.50	0.346	
666.20	0.344	
667.00	0.344	
667.80	0.343	
668.50	0.342	
669.30	0.341	
670.00	0.341	
670.80	0.342	
671.60	0.343	
672.30	0.343	
673.10	0.343	
673.90	0.344	
674.60	0.346	
675.40	0.346	
676.20	0.347	
676.90	0.346	
677.70	0.345	
678.50	0.345	
679.20	0.344	
680.00	0.342	
680.70	0.340	
681.50	0.336	
682.30	0.331	
683.00	0.324	
683.80	0.315	
684.60	0.306	
685.30	0.296	
686.10	0.289	
686.90	0.283	
687.60	0.280	
688.40	0.278	
689.20	0.277	
689.90	0.277	
690.70	0.277	
691.50	0.276	
692.20	0.275	
693.00	0.277	
693.70	0.278	
694.50	0.280	
695.30	0.283	
696.00	0.285	
696.80	0.285	
697.60	0.285	
698.30	0.284	
699.10	0.282	
699.90	0.281	
700.60	0.281	
701.40	0.282	
702.20	0.283	
702.90	0.285	
703.70	0.286	
704.50	0.287	
705.20	0.287	
706.00	0.284	
706.80	0.281	
707.50	0.279	
708.30	0.276	
709.10	0.271	
709.90	0.264	
710.70	0.256	
711.50	0.248	
712.20	0.236	
713.00	0.222	
713.80	0.205	
714.60	0.186	
715.40	0.167	
716.20	0.148	
716.90	0.131	
717.70	0.117	
718.50	0.107	
719.30	0.100	
720.10	0.096	
720.90	0.093	
721.60	0.090	
722.40	0.086	
723.20	0.083	
724.00	0.078	
724.80	0.074	
725.60	0.070	
726.30	0.066	
727.10	0.065	
727.90	0.063	
728.70	0.062	
729.50	0.062	
730.30	0.062	
731.00	0.063	
731.80	0.065	
732.60	0.066	
733.40	0.068	
734.20	0.070	
735.00	0.071	
735.70	0.072	
736.50	0.073	
737.30	0.074	
738.10	0.076	
738.90	0.078	
739.70	0.080	
740.40	0.083	
741.20	0.086	
742.00	0.090	
742.80	0.094	
743.60	0.098	
744.40	0.101	
745.10	0.105	
745.90	0.108	
746.70	0.111	
747.50	0.114	
748.30	0.116	
749.10	0.119	
749.80	0.122	
750.60	0.125	
751.40	0.127	
752.20	0.129	
753.00	0.131	
753.80	0.133	
754.50	0.134	
755.30	0.134	
756.10	0.132	
756.90	0.128	
757.70	0.120	
758.50	0.110	
759.30	0.100	
760.00	0.090	
760.80	0.080	
761.60	0.071	
762.40	0.065	
763.20	0.065	
764.00	0.067	
764.70	0.072	
765.50	0.078	
766.30	0.086	
767.10	0.095	
767.90	0.104	
768.70	0.113	
769.40	0.121	
770.20	0.127	
771.00	0.133	
771.80	0.137	
772.60	0.141	
773.40	0.144	
774.10	0.146	
774.90	0.149	
775.70	0.150	
776.50	0.151	
777.30	0.152	
778.10	0.152	
778.80	0.152	
779.60	0.151	
780.40	0.149	
781.20	0.148	
782.00	0.146	
782.80	0.143	
783.50	0.140	
784.30	0.137	
785.10	0.134	
785.90	0.130	
786.70	0.126	
787.50	0.122	
788.20	0.117	
789.00	0.114	
789.80	0.109	
790.60	0.105	
791.40	0.102	
792.20	0.098	
792.90	0.096	
793.70	0.093	
794.50	0.090	
795.30	0.088	
796.10	0.086	
796.90	0.084	
797.60	0.082	
798.40	0.080	
799.20	0.078	
800.00	0.076	
800.80	0.074	
801.60	0.073	
802.30	0.071	
803.10	0.069	
803.90	0.068	
804.70	0.067	
805.50	0.065	
806.30	0.063	
807.10	0.062	
807.80	0.060	
808.60	0.059	
809.40	0.057	
810.20	0.055	
811.00	0.053	
811.80	0.051	
812.50	0.050	
813.30	0.048	
814.10	0.047	
814.90	0.045	
815.70	0.044	
816.50	0.043	
817.20	0.042	
818.00	0.041	
818.80	0.040	
819.60	0.040	
820.40	0.040	
821.20	0.039	
821.90	0.039	
822.70	0.039	
823.50	0.039	
824.30	0.039	
825.10	0.039	
825.90	0.039	
826.60	0.039	
827.40	0.039	
828.20	0.039	
829.00	0.038	
829.80	0.038	
830.60	0.038	
831.30	0.038	
832.20	0.037	
833.00	0.037	
833.80	0.037	
834.60	0.037	
835.50	0.037	
836.30	0.037	
837.10	0.037	
838.00	0.036	
838.80	0.036	
839.60	0.035	
840.50	0.035	
841.30	0.034	
842.10	0.034	
842.90	0.033	
843.80	0.033	
844.60	0.033	
845.40	0.033	
846.30	0.032	
847.10	0.032	
847.90	0.031	
848.80	0.031	
849.60	0.030	
850.40	0.030	
851.30	0.029	
852.10	0.029	
852.90	0.028	
853.70	0.028	
854.60	0.028	
855.40	0.028	
856.20	0.027	
857.10	0.027	
857.90	0.027	
858.70	0.026	
859.60	0.026	
860.40	0.025	
861.20	0.025	
862.10	0.024	
862.90	0.024	
863.70	0.023	
864.50	0.023	
865.40	0.023	
866.20	0.023	
867.00	0.022	
867.90	0.022	
868.70	0.022	
869.50	0.022	
870.40	0.022	
871.20	0.022	
872.00	0.021	
872.80	0.021	
873.70	0.021	
874.50	0.021	
875.30	0.021	
876.20	0.020	
877.00	0.020	
877.80	0.020	
878.70	0.020	
879.50	0.020	
880.30	0.020	
881.20	0.020	
882.00	0.020	
882.80	0.020	
883.60	0.020	
884.50	0.019	
885.30	0.019	
886.10	0.019	
887.00	0.020	
887.80	0.020	
888.60	0.020	
889.50	0.019	
890.30	0.019	
891.10	0.019	
892.00	0.019	
892.80	0.019	
893.60	0.019	
894.40	0.019	
895.30	0.019	
896.10	0.019	
896.90	0.019	
897.80	0.019	
898.60	0.019	
899.40	0.019	
