Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.836	
381.30	0.854	
382.20	0.872	
383.10	0.889	
384.00	0.918	
384.90	0.943	
385.80	0.963	
386.70	0.978	
387.60	0.988	
388.50	0.992	
389.40	0.993	
390.20	0.993	
391.10	0.993	
392.00	0.993	
392.90	0.993	
393.80	0.993	
394.70	0.993	
395.60	0.993	
396.50	0.993	
397.40	0.993	
398.30	0.993	
399.10	0.993	
400.00	0.993	
400.90	0.993	
401.80	0.993	
402.70	0.993	
403.60	0.993	
404.50	0.993	
405.40	0.993	
406.30	0.993	
407.20	0.993	
408.00	0.993	
408.90	0.993	
409.80	0.993	
410.70	0.993	
411.60	0.993	
412.50	0.993	
413.40	0.993	
414.30	0.993	
415.20	0.993	
416.00	0.993	
416.90	0.993	
417.80	0.993	
418.70	0.993	
419.60	0.993	
420.50	0.993	
421.40	0.993	
422.30	0.993	
423.20	0.993	
424.10	0.993	
424.90	0.993	
425.80	0.993	
426.70	0.993	
427.60	0.993	
428.50	0.993	
429.40	0.993	
430.30	0.993	
431.20	0.993	
432.10	0.993	
433.00	0.993	
433.80	0.993	
434.70	0.993	
435.60	0.993	
436.50	0.993	
437.40	0.993	
438.30	0.993	
439.20	0.993	
440.10	0.993	
441.00	0.993	
441.90	0.993	
442.70	0.993	
443.60	0.993	
444.50	0.993	
445.40	0.993	
446.30	0.993	
447.20	0.993	
448.10	0.993	
449.00	0.993	
449.90	0.993	
450.80	0.993	
451.60	0.993	
452.50	0.993	
453.40	0.993	
454.30	0.993	
455.20	0.993	
456.10	0.993	
457.00	0.993	
457.90	0.993	
458.80	0.993	
459.60	0.993	
460.50	0.993	
461.40	0.993	
462.30	0.993	
463.20	0.993	
464.10	0.993	
465.00	0.993	
465.90	0.993	
466.80	0.993	
467.70	0.993	
468.50	0.993	
469.40	0.993	
470.30	0.993	
471.20	0.993	
472.10	0.993	
473.00	0.993	
473.90	0.993	
474.80	0.993	
475.70	0.993	
476.60	0.993	
477.40	0.993	
478.30	0.993	
479.20	0.993	
480.10	0.993	
481.00	0.993	
481.90	0.993	
482.80	0.993	
483.70	0.993	
484.60	0.993	
485.50	0.993	
486.30	0.993	
487.20	0.993	
488.10	0.993	
489.00	0.993	
489.90	0.993	
490.80	0.993	
491.70	0.993	
492.60	0.993	
493.50	0.993	
494.40	0.993	
495.20	0.993	
496.10	0.993	
497.00	0.993	
497.90	0.993	
498.80	0.993	
499.70	0.993	
500.60	0.993	
501.50	0.993	
502.40	0.993	
503.20	0.993	
504.10	0.993	
505.00	0.993	
505.90	0.993	
506.80	0.993	
507.70	0.993	
508.60	0.993	
509.50	0.993	
510.40	0.993	
511.30	0.993	
512.20	0.993	
513.00	0.993	
513.80	0.993	
514.60	0.993	
515.50	0.993	
516.30	0.993	
517.10	0.993	
517.90	0.993	
518.80	0.993	
519.60	0.993	
520.40	0.993	
521.20	0.993	
522.10	0.993	
522.90	0.993	
523.70	0.993	
524.50	0.993	
525.40	0.993	
526.20	0.993	
527.00	0.993	
527.80	0.993	
528.70	0.993	
529.50	0.993	
530.30	0.993	
531.10	0.993	
532.00	0.993	
532.80	0.993	
533.60	0.993	
534.50	0.993	
535.30	0.993	
536.10	0.993	
536.90	0.993	
537.80	0.993	
538.60	0.993	
539.40	0.993	
540.20	0.993	
541.10	0.993	
541.90	0.993	
542.70	0.993	
543.50	0.993	
544.40	0.993	
545.20	0.993	
546.00	0.993	
546.80	0.993	
547.70	0.993	
548.50	0.993	
549.30	0.993	
550.10	0.993	
551.00	0.993	
551.80	0.993	
552.60	0.993	
553.50	0.993	
554.30	0.993	
555.10	0.993	
555.90	0.993	
556.80	0.993	
557.60	0.993	
558.40	0.993	
559.20	0.993	
560.10	0.993	
560.90	0.993	
561.70	0.993	
562.50	0.993	
563.40	0.993	
564.20	0.993	
565.00	0.993	
565.80	0.993	
566.70	0.993	
567.50	0.993	
568.30	0.993	
569.10	0.993	
570.00	0.993	
570.80	0.993	
571.60	0.993	
572.40	0.993	
573.30	0.993	
574.10	0.993	
574.90	0.993	
575.80	0.993	
576.60	0.993	
577.40	0.993	
578.20	0.993	
579.10	0.993	
579.90	0.993	
580.70	0.993	
581.50	0.993	
582.40	0.993	
583.20	0.993	
584.00	0.993	
584.80	0.993	
585.70	0.993	
586.50	0.993	
587.30	0.993	
588.10	0.993	
588.90	0.993	
589.60	0.993	
590.40	0.993	
591.10	0.993	
591.90	0.993	
592.60	0.993	
593.40	0.993	
594.10	0.993	
594.90	0.993	
595.60	0.993	
596.40	0.993	
597.10	0.993	
597.90	0.993	
598.60	0.993	
599.40	0.993	
600.10	0.993	
600.90	0.993	
601.60	0.993	
602.40	0.993	
603.10	0.993	
603.90	0.993	
604.60	0.993	
605.40	0.993	
606.10	0.993	
606.90	0.993	
607.70	0.993	
608.40	0.993	
609.20	0.993	
609.90	0.993	
610.70	0.993	
611.40	0.993	
612.20	0.993	
612.90	0.993	
613.70	0.993	
614.40	0.993	
615.20	0.993	
615.90	0.993	
616.70	0.993	
617.40	0.993	
618.20	0.993	
618.90	0.993	
619.70	0.993	
620.40	0.993	
621.20	0.993	
621.90	0.993	
622.70	0.993	
623.40	0.993	
624.20	0.993	
624.90	0.993	
625.70	0.993	
626.40	0.993	
627.20	0.993	
627.90	0.993	
628.70	0.993	
629.40	0.993	
630.20	0.993	
630.90	0.993	
631.70	0.993	
632.40	0.993	
633.20	0.993	
633.90	0.993	
634.70	0.993	
635.40	0.993	
636.20	0.993	
636.90	0.993	
637.70	0.993	
638.40	0.993	
639.20	0.993	
639.90	0.993	
640.70	0.993	
641.40	0.993	
642.20	0.993	
642.90	0.993	
643.70	0.993	
644.50	0.993	
645.20	0.993	
646.00	0.993	
646.70	0.993	
647.50	0.993	
648.20	0.993	
649.00	0.993	
649.70	0.993	
650.50	0.993	
651.20	0.993	
652.00	0.993	
652.70	0.993	
653.50	0.993	
654.20	0.993	
655.00	0.993	
655.70	0.993	
656.50	0.993	
657.20	0.993	
658.00	0.993	
658.70	0.993	
659.50	0.993	
660.20	0.993	
661.00	0.993	
661.70	0.993	
662.50	0.993	
663.20	0.993	
664.00	0.993	
664.70	0.993	
665.50	0.993	
666.20	0.993	
667.00	0.993	
667.80	0.993	
668.50	0.993	
669.30	0.993	
670.00	0.993	
670.80	0.993	
671.60	0.993	
672.30	0.993	
673.10	0.993	
673.90	0.993	
674.60	0.993	
675.40	0.993	
676.20	0.993	
676.90	0.993	
677.70	0.993	
678.50	0.993	
679.20	0.993	
680.00	0.993	
680.70	0.993	
681.50	0.993	
682.30	0.993	
683.00	0.993	
683.80	0.993	
684.60	0.993	
685.30	0.993	
686.10	0.993	
686.90	0.993	
687.60	0.993	
688.40	0.993	
689.20	0.993	
689.90	0.993	
690.70	0.993	
691.50	0.993	
692.20	0.993	
693.00	0.993	
693.70	0.993	
694.50	0.993	
695.30	0.993	
696.00	0.993	
696.80	0.993	
697.60	0.993	
698.30	0.993	
699.10	0.993	
699.90	0.993	
700.60	0.993	
701.40	0.993	
702.20	0.993	
702.90	0.993	
703.70	0.993	
704.50	0.993	
705.20	0.993	
706.00	0.993	
706.80	0.993	
707.50	0.993	
708.30	0.993	
709.10	0.992	
709.90	0.990	
710.70	0.983	
711.50	0.966	
712.20	0.939	
713.00	0.901	
713.80	0.852	
714.60	0.793	
715.40	0.727	
716.20	0.663	
716.90	0.607	
717.70	0.561	
718.50	0.525	
719.30	0.500	
720.10	0.484	
720.90	0.470	
721.60	0.455	
722.40	0.440	
723.20	0.423	
724.00	0.405	
724.80	0.384	
725.60	0.365	
726.30	0.351	
727.10	0.340	
727.90	0.332	
728.70	0.326	
729.50	0.323	
730.30	0.324	
731.00	0.328	
731.80	0.332	
732.60	0.338	
733.40	0.343	
734.20	0.349	
735.00	0.354	
735.70	0.359	
736.50	0.361	
737.30	0.366	
738.10	0.372	
738.90	0.379	
739.70	0.387	
740.40	0.396	
741.20	0.406	
742.00	0.419	
742.80	0.431	
743.60	0.444	
744.40	0.456	
745.10	0.469	
745.90	0.480	
746.70	0.491	
747.50	0.501	
748.30	0.509	
749.10	0.516	
749.80	0.525	
750.60	0.532	
751.40	0.540	
752.20	0.545	
753.00	0.551	
753.80	0.556	
754.50	0.559	
755.30	0.558	
756.10	0.554	
756.90	0.539	
757.70	0.513	
758.50	0.477	
759.30	0.439	
760.00	0.402	
760.80	0.367	
761.60	0.335	
762.40	0.315	
763.20	0.311	
764.00	0.320	
764.70	0.338	
765.50	0.361	
766.30	0.390	
767.10	0.420	
767.90	0.450	
768.70	0.479	
769.40	0.505	
770.20	0.526	
771.00	0.542	
771.80	0.556	
772.60	0.567	
773.40	0.576	
774.10	0.583	
774.90	0.588	
775.70	0.592	
776.50	0.593	
777.30	0.593	
778.10	0.593	
778.80	0.593	
779.60	0.590	
780.40	0.586	
781.20	0.581	
782.00	0.576	
782.80	0.568	
783.50	0.559	
784.30	0.548	
785.10	0.537	
785.90	0.526	
786.70	0.513	
787.50	0.500	
788.20	0.487	
789.00	0.474	
789.80	0.461	
790.60	0.449	
791.40	0.437	
792.20	0.425	
792.90	0.415	
793.70	0.406	
794.50	0.397	
795.30	0.389	
796.10	0.380	
796.90	0.373	
797.60	0.365	
798.40	0.358	
799.20	0.350	
800.00	0.343	
800.80	0.337	
801.60	0.331	
802.30	0.324	
803.10	0.318	
803.90	0.312	
804.70	0.306	
805.50	0.299	
806.30	0.292	
807.10	0.285	
807.80	0.278	
808.60	0.269	
809.40	0.261	
810.20	0.252	
811.00	0.243	
811.80	0.234	
812.50	0.225	
813.30	0.216	
814.10	0.207	
814.90	0.200	
815.70	0.193	
816.50	0.186	
817.20	0.180	
818.00	0.175	
818.80	0.170	
819.60	0.167	
820.40	0.165	
821.20	0.163	
821.90	0.162	
822.70	0.161	
823.50	0.161	
824.30	0.161	
825.10	0.161	
825.90	0.161	
826.60	0.160	
827.40	0.159	
828.20	0.158	
829.00	0.156	
829.80	0.154	
830.60	0.152	
831.30	0.150	
832.20	0.149	
833.00	0.148	
833.80	0.146	
834.60	0.145	
835.50	0.144	
836.30	0.142	
837.10	0.140	
838.00	0.138	
838.80	0.135	
839.60	0.133	
840.50	0.129	
841.30	0.126	
842.10	0.124	
842.90	0.121	
843.80	0.117	
844.60	0.114	
845.40	0.112	
846.30	0.108	
847.10	0.105	
847.90	0.102	
848.80	0.098	
849.60	0.094	
850.40	0.091	
851.30	0.087	
852.10	0.083	
852.90	0.079	
853.70	0.076	
854.60	0.072	
855.40	0.069	
856.20	0.066	
857.10	0.063	
857.90	0.060	
858.70	0.057	
859.60	0.054	
860.40	0.052	
861.20	0.050	
862.10	0.048	
862.90	0.046	
863.70	0.043	
864.50	0.042	
865.40	0.041	
866.20	0.039	
867.00	0.038	
867.90	0.037	
868.70	0.035	
869.50	0.034	
870.40	0.033	
871.20	0.032	
872.00	0.031	
872.80	0.031	
873.70	0.030	
874.50	0.029	
875.30	0.029	
876.20	0.028	
877.00	0.028	
877.80	0.027	
878.70	0.027	
879.50	0.026	
880.30	0.026	
881.20	0.026	
882.00	0.026	
882.80	0.026	
883.60	0.025	
884.50	0.025	
885.30	0.025	
886.10	0.025	
887.00	0.024	
887.80	0.024	
888.60	0.024	
889.50	0.024	
890.30	0.024	
891.10	0.024	
892.00	0.024	
892.80	0.024	
893.60	0.024	
894.40	0.024	
895.30	0.024	
896.10	0.023	
896.90	0.024	
897.80	0.023	
898.60	0.023	
899.40	0.023	
