Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.016	
381.30	0.016	
382.20	0.016	
383.10	0.016	
384.00	0.016	
384.90	0.016	
385.80	0.016	
386.70	0.017	
387.60	0.017	
388.50	0.017	
389.40	0.017	
390.20	0.016	
391.10	0.016	
392.00	0.016	
392.90	0.016	
393.80	0.016	
394.70	0.016	
395.60	0.016	
396.50	0.017	
397.40	0.017	
398.30	0.017	
399.10	0.017	
400.00	0.017	
400.90	0.017	
401.80	0.017	
402.70	0.017	
403.60	0.017	
404.50	0.017	
405.40	0.017	
406.30	0.017	
407.20	0.017	
408.00	0.017	
408.90	0.017	
409.80	0.017	
410.70	0.018	
411.60	0.018	
412.50	0.018	
413.40	0.018	
414.30	0.018	
415.20	0.019	
416.00	0.019	
416.90	0.019	
417.80	0.019	
418.70	0.019	
419.60	0.019	
420.50	0.020	
421.40	0.020	
422.30	0.020	
423.20	0.020	
424.10	0.020	
424.90	0.020	
425.80	0.020	
426.70	0.020	
427.60	0.020	
428.50	0.020	
429.40	0.021	
430.30	0.021	
431.20	0.021	
432.10	0.021	
433.00	0.021	
433.80	0.021	
434.70	0.021	
435.60	0.021	
436.50	0.021	
437.40	0.021	
438.30	0.022	
439.20	0.022	
440.10	0.022	
441.00	0.022	
441.90	0.022	
442.70	0.022	
443.60	0.023	
444.50	0.023	
445.40	0.023	
446.30	0.023	
447.20	0.023	
448.10	0.024	
449.00	0.024	
449.90	0.023	
450.80	0.023	
451.60	0.023	
452.50	0.023	
453.40	0.023	
454.30	0.023	
455.20	0.022	
456.10	0.022	
457.00	0.022	
457.90	0.022	
458.80	0.022	
459.60	0.022	
460.50	0.022	
461.40	0.022	
462.30	0.022	
463.20	0.022	
464.10	0.022	
465.00	0.022	
465.90	0.022	
466.80	0.022	
467.70	0.022	
468.50	0.022	
469.40	0.022	
470.30	0.022	
471.20	0.022	
472.10	0.022	
473.00	0.022	
473.90	0.021	
474.80	0.022	
475.70	0.021	
476.60	0.021	
477.40	0.021	
478.30	0.021	
479.20	0.021	
480.10	0.021	
481.00	0.021	
481.90	0.021	
482.80	0.021	
483.70	0.021	
484.60	0.021	
485.50	0.021	
486.30	0.020	
487.20	0.020	
488.10	0.020	
489.00	0.020	
489.90	0.020	
490.80	0.020	
491.70	0.020	
492.60	0.020	
493.50	0.020	
494.40	0.020	
495.20	0.020	
496.10	0.020	
497.00	0.020	
497.90	0.020	
498.80	0.020	
499.70	0.020	
500.60	0.020	
501.50	0.020	
502.40	0.020	
503.20	0.020	
504.10	0.020	
505.00	0.021	
505.90	0.021	
506.80	0.021	
507.70	0.021	
508.60	0.021	
509.50	0.021	
510.40	0.021	
511.30	0.021	
512.20	0.021	
513.00	0.021	
513.80	0.021	
514.60	0.021	
515.50	0.021	
516.30	0.021	
517.10	0.021	
517.90	0.021	
518.80	0.021	
519.60	0.021	
520.40	0.022	
521.20	0.021	
522.10	0.021	
522.90	0.021	
523.70	0.021	
524.50	0.021	
525.40	0.021	
526.20	0.021	
527.00	0.021	
527.80	0.021	
528.70	0.022	
529.50	0.021	
530.30	0.021	
531.10	0.021	
532.00	0.021	
532.80	0.021	
533.60	0.021	
534.50	0.021	
535.30	0.021	
536.10	0.021	
536.90	0.021	
537.80	0.021	
538.60	0.021	
539.40	0.021	
540.20	0.021	
541.10	0.021	
541.90	0.022	
542.70	0.021	
543.50	0.021	
544.40	0.021	
545.20	0.021	
546.00	0.021	
546.80	0.021	
547.70	0.021	
548.50	0.021	
549.30	0.021	
550.10	0.021	
551.00	0.021	
551.80	0.021	
552.60	0.021	
553.50	0.021	
554.30	0.021	
555.10	0.021	
555.90	0.022	
556.80	0.022	
557.60	0.022	
558.40	0.022	
559.20	0.022	
560.10	0.022	
560.90	0.022	
561.70	0.022	
562.50	0.022	
563.40	0.022	
564.20	0.022	
565.00	0.022	
565.80	0.022	
566.70	0.022	
567.50	0.022	
568.30	0.022	
569.10	0.022	
570.00	0.022	
570.80	0.022	
571.60	0.023	
572.40	0.022	
573.30	0.022	
574.10	0.022	
574.90	0.022	
575.80	0.023	
576.60	0.022	
577.40	0.022	
578.20	0.022	
579.10	0.023	
579.90	0.023	
580.70	0.023	
581.50	0.023	
582.40	0.023	
583.20	0.023	
584.00	0.023	
584.80	0.023	
585.70	0.023	
586.50	0.023	
587.30	0.023	
588.10	0.023	
588.90	0.023	
589.60	0.023	
590.40	0.023	
591.10	0.024	
591.90	0.023	
592.60	0.023	
593.40	0.023	
594.10	0.023	
594.90	0.023	
595.60	0.023	
596.40	0.023	
597.10	0.023	
597.90	0.023	
598.60	0.023	
599.40	0.023	
600.10	0.023	
600.90	0.023	
601.60	0.023	
602.40	0.023	
603.10	0.023	
603.90	0.023	
604.60	0.023	
605.40	0.023	
606.10	0.023	
606.90	0.023	
607.70	0.023	
608.40	0.023	
609.20	0.023	
609.90	0.023	
610.70	0.023	
611.40	0.023	
612.20	0.023	
612.90	0.023	
613.70	0.023	
614.40	0.023	
615.20	0.023	
615.90	0.023	
616.70	0.023	
617.40	0.023	
618.20	0.023	
618.90	0.023	
619.70	0.023	
620.40	0.023	
621.20	0.023	
621.90	0.024	
622.70	0.023	
623.40	0.023	
624.20	0.023	
624.90	0.023	
625.70	0.023	
626.40	0.024	
627.20	0.024	
627.90	0.024	
628.70	0.024	
629.40	0.024	
630.20	0.024	
630.90	0.024	
631.70	0.024	
632.40	0.024	
633.20	0.024	
633.90	0.024	
634.70	0.024	
635.40	0.024	
636.20	0.024	
636.90	0.024	
637.70	0.023	
638.40	0.023	
639.20	0.023	
639.90	0.023	
640.70	0.023	
641.40	0.023	
642.20	0.023	
642.90	0.023	
643.70	0.023	
644.50	0.023	
645.20	0.022	
646.00	0.023	
646.70	0.022	
647.50	0.022	
648.20	0.022	
649.00	0.022	
649.70	0.022	
650.50	0.022	
651.20	0.022	
652.00	0.022	
652.70	0.022	
653.50	0.022	
654.20	0.021	
655.00	0.021	
655.70	0.021	
656.50	0.021	
657.20	0.021	
658.00	0.021	
658.70	0.021	
659.50	0.020	
660.20	0.021	
661.00	0.020	
661.70	0.020	
662.50	0.020	
663.20	0.020	
664.00	0.020	
664.70	0.020	
665.50	0.020	
666.20	0.020	
667.00	0.020	
667.80	0.020	
668.50	0.020	
669.30	0.020	
670.00	0.020	
670.80	0.020	
671.60	0.020	
672.30	0.020	
673.10	0.020	
673.90	0.020	
674.60	0.020	
675.40	0.019	
676.20	0.019	
676.90	0.019	
677.70	0.019	
678.50	0.019	
679.20	0.019	
680.00	0.019	
680.70	0.019	
681.50	0.019	
682.30	0.019	
683.00	0.019	
683.80	0.019	
684.60	0.019	
685.30	0.019	
686.10	0.019	
686.90	0.019	
687.60	0.019	
688.40	0.019	
689.20	0.019	
689.90	0.019	
690.70	0.019	
691.50	0.019	
692.20	0.019	
693.00	0.019	
693.70	0.019	
694.50	0.018	
695.30	0.018	
696.00	0.019	
696.80	0.018	
697.60	0.018	
698.30	0.019	
699.10	0.019	
699.90	0.018	
700.60	0.018	
701.40	0.018	
702.20	0.018	
702.90	0.018	
703.70	0.018	
704.50	0.018	
705.20	0.018	
706.00	0.018	
706.80	0.018	
707.50	0.018	
708.30	0.018	
709.10	0.018	
709.90	0.018	
710.70	0.018	
711.50	0.018	
712.20	0.017	
713.00	0.018	
713.80	0.017	
714.60	0.017	
715.40	0.017	
716.20	0.017	
716.90	0.017	
717.70	0.017	
718.50	0.017	
719.30	0.017	
720.10	0.017	
720.90	0.017	
721.60	0.017	
722.40	0.017	
723.20	0.017	
724.00	0.017	
724.80	0.017	
725.60	0.016	
726.30	0.016	
727.10	0.016	
727.90	0.016	
728.70	0.016	
729.50	0.016	
730.30	0.017	
731.00	0.016	
731.80	0.016	
732.60	0.016	
733.40	0.016	
734.20	0.016	
735.00	0.016	
735.70	0.016	
736.50	0.016	
737.30	0.016	
738.10	0.016	
738.90	0.016	
739.70	0.016	
740.40	0.016	
741.20	0.016	
742.00	0.016	
742.80	0.016	
743.60	0.017	
744.40	0.017	
745.10	0.016	
745.90	0.016	
746.70	0.016	
747.50	0.016	
748.30	0.016	
749.10	0.016	
749.80	0.016	
750.60	0.016	
751.40	0.016	
752.20	0.016	
753.00	0.016	
753.80	0.016	
754.50	0.016	
755.30	0.016	
756.10	0.016	
756.90	0.016	
757.70	0.016	
758.50	0.016	
759.30	0.016	
760.00	0.016	
760.80	0.016	
761.60	0.017	
762.40	0.017	
763.20	0.017	
764.00	0.017	
764.70	0.017	
765.50	0.017	
766.30	0.016	
767.10	0.016	
767.90	0.016	
768.70	0.016	
769.40	0.016	
770.20	0.016	
771.00	0.016	
771.80	0.016	
772.60	0.016	
773.40	0.016	
774.10	0.016	
774.90	0.016	
775.70	0.016	
776.50	0.016	
777.30	0.016	
778.10	0.016	
778.80	0.016	
779.60	0.016	
780.40	0.016	
781.20	0.016	
782.00	0.016	
782.80	0.016	
783.50	0.016	
784.30	0.016	
785.10	0.016	
785.90	0.016	
786.70	0.016	
787.50	0.016	
788.20	0.016	
789.00	0.016	
789.80	0.016	
790.60	0.017	
791.40	0.016	
792.20	0.016	
792.90	0.016	
793.70	0.016	
794.50	0.016	
795.30	0.016	
796.10	0.016	
796.90	0.016	
797.60	0.016	
798.40	0.016	
799.20	0.016	
800.00	0.016	
800.80	0.016	
801.60	0.016	
802.30	0.016	
803.10	0.016	
803.90	0.016	
804.70	0.016	
805.50	0.016	
806.30	0.016	
807.10	0.016	
807.80	0.016	
808.60	0.016	
809.40	0.016	
810.20	0.016	
811.00	0.016	
811.80	0.016	
812.50	0.016	
813.30	0.016	
814.10	0.016	
814.90	0.016	
815.70	0.016	
816.50	0.016	
817.20	0.016	
818.00	0.016	
818.80	0.016	
819.60	0.016	
820.40	0.016	
821.20	0.016	
821.90	0.016	
822.70	0.016	
823.50	0.016	
824.30	0.016	
825.10	0.016	
825.90	0.016	
826.60	0.016	
827.40	0.016	
828.20	0.016	
829.00	0.016	
829.80	0.016	
830.60	0.016	
831.30	0.016	
832.20	0.016	
833.00	0.016	
833.80	0.016	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.016	
838.00	0.016	
838.80	0.016	
839.60	0.016	
840.50	0.016	
841.30	0.016	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.016	
845.40	0.016	
846.30	0.016	
847.10	0.016	
847.90	0.016	
848.80	0.016	
849.60	0.016	
850.40	0.016	
851.30	0.016	
852.10	0.016	
852.90	0.016	
853.70	0.016	
854.60	0.016	
855.40	0.016	
856.20	0.016	
857.10	0.016	
857.90	0.015	
858.70	0.015	
859.60	0.016	
860.40	0.016	
861.20	0.016	
862.10	0.016	
862.90	0.016	
863.70	0.016	
864.50	0.016	
865.40	0.016	
866.20	0.016	
867.00	0.016	
867.90	0.016	
868.70	0.016	
869.50	0.016	
870.40	0.016	
871.20	0.016	
872.00	0.016	
872.80	0.016	
873.70	0.016	
874.50	0.016	
875.30	0.016	
876.20	0.016	
877.00	0.016	
877.80	0.016	
878.70	0.016	
879.50	0.016	
880.30	0.016	
881.20	0.016	
882.00	0.016	
882.80	0.016	
883.60	0.016	
884.50	0.016	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.016	
892.80	0.016	
893.60	0.016	
894.40	0.016	
895.30	0.016	
896.10	0.016	
896.90	0.016	
897.80	0.016	
898.60	0.016	
899.40	0.016	
