Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.017	
381.30	0.017	
382.20	0.017	
383.10	0.017	
384.00	0.017	
384.90	0.016	
385.80	0.016	
386.70	0.016	
387.60	0.017	
388.50	0.017	
389.40	0.017	
390.20	0.017	
391.10	0.017	
392.00	0.017	
392.90	0.017	
393.80	0.017	
394.70	0.017	
395.60	0.017	
396.50	0.018	
397.40	0.018	
398.30	0.018	
399.10	0.018	
400.00	0.018	
400.90	0.018	
401.80	0.018	
402.70	0.018	
403.60	0.018	
404.50	0.018	
405.40	0.018	
406.30	0.018	
407.20	0.018	
408.00	0.018	
408.90	0.019	
409.80	0.019	
410.70	0.019	
411.60	0.019	
412.50	0.019	
413.40	0.019	
414.30	0.019	
415.20	0.019	
416.00	0.020	
416.90	0.020	
417.80	0.020	
418.70	0.020	
419.60	0.020	
420.50	0.021	
421.40	0.021	
422.30	0.021	
423.20	0.021	
424.10	0.022	
424.90	0.022	
425.80	0.023	
426.70	0.023	
427.60	0.023	
428.50	0.024	
429.40	0.024	
430.30	0.025	
431.20	0.025	
432.10	0.025	
433.00	0.026	
433.80	0.026	
434.70	0.026	
435.60	0.026	
436.50	0.027	
437.40	0.027	
438.30	0.027	
439.20	0.028	
440.10	0.028	
441.00	0.028	
441.90	0.029	
442.70	0.029	
443.60	0.029	
444.50	0.030	
445.40	0.030	
446.30	0.031	
447.20	0.031	
448.10	0.031	
449.00	0.032	
449.90	0.032	
450.80	0.031	
451.60	0.031	
452.50	0.031	
453.40	0.031	
454.30	0.031	
455.20	0.031	
456.10	0.031	
457.00	0.031	
457.90	0.030	
458.80	0.030	
459.60	0.030	
460.50	0.030	
461.40	0.029	
462.30	0.029	
463.20	0.029	
464.10	0.029	
465.00	0.028	
465.90	0.028	
466.80	0.028	
467.70	0.028	
468.50	0.028	
469.40	0.028	
470.30	0.028	
471.20	0.028	
472.10	0.028	
473.00	0.028	
473.90	0.027	
474.80	0.027	
475.70	0.027	
476.60	0.027	
477.40	0.027	
478.30	0.027	
479.20	0.027	
480.10	0.027	
481.00	0.027	
481.90	0.027	
482.80	0.027	
483.70	0.026	
484.60	0.026	
485.50	0.026	
486.30	0.026	
487.20	0.026	
488.10	0.026	
489.00	0.025	
489.90	0.025	
490.80	0.025	
491.70	0.025	
492.60	0.025	
493.50	0.025	
494.40	0.025	
495.20	0.025	
496.10	0.025	
497.00	0.025	
497.90	0.025	
498.80	0.025	
499.70	0.025	
500.60	0.025	
501.50	0.025	
502.40	0.025	
503.20	0.025	
504.10	0.025	
505.00	0.025	
505.90	0.025	
506.80	0.025	
507.70	0.025	
508.60	0.025	
509.50	0.025	
510.40	0.025	
511.30	0.025	
512.20	0.025	
513.00	0.025	
513.80	0.025	
514.60	0.025	
515.50	0.025	
516.30	0.025	
517.10	0.025	
517.90	0.025	
518.80	0.025	
519.60	0.025	
520.40	0.025	
521.20	0.025	
522.10	0.025	
522.90	0.025	
523.70	0.025	
524.50	0.025	
525.40	0.025	
526.20	0.025	
527.00	0.025	
527.80	0.024	
528.70	0.024	
529.50	0.024	
530.30	0.024	
531.10	0.024	
532.00	0.024	
532.80	0.023	
533.60	0.023	
534.50	0.023	
535.30	0.023	
536.10	0.023	
536.90	0.023	
537.80	0.023	
538.60	0.023	
539.40	0.023	
540.20	0.023	
541.10	0.023	
541.90	0.023	
542.70	0.022	
543.50	0.022	
544.40	0.022	
545.20	0.022	
546.00	0.022	
546.80	0.021	
547.70	0.021	
548.50	0.021	
549.30	0.021	
550.10	0.021	
551.00	0.021	
551.80	0.021	
552.60	0.021	
553.50	0.021	
554.30	0.021	
555.10	0.021	
555.90	0.021	
556.80	0.021	
557.60	0.021	
558.40	0.021	
559.20	0.021	
560.10	0.021	
560.90	0.022	
561.70	0.022	
562.50	0.021	
563.40	0.021	
564.20	0.021	
565.00	0.021	
565.80	0.021	
566.70	0.021	
567.50	0.021	
568.30	0.021	
569.10	0.021	
570.00	0.021	
570.80	0.021	
571.60	0.021	
572.40	0.021	
573.30	0.021	
574.10	0.021	
574.90	0.021	
575.80	0.021	
576.60	0.021	
577.40	0.021	
578.20	0.021	
579.10	0.021	
579.90	0.021	
580.70	0.021	
581.50	0.021	
582.40	0.021	
583.20	0.021	
584.00	0.020	
584.80	0.020	
585.70	0.020	
586.50	0.020	
587.30	0.020	
588.10	0.020	
588.90	0.020	
589.60	0.020	
590.40	0.020	
591.10	0.020	
591.90	0.020	
592.60	0.020	
593.40	0.020	
594.10	0.020	
594.90	0.019	
595.60	0.019	
596.40	0.019	
597.10	0.019	
597.90	0.019	
598.60	0.019	
599.40	0.019	
600.10	0.019	
600.90	0.019	
601.60	0.019	
602.40	0.020	
603.10	0.020	
603.90	0.020	
604.60	0.020	
605.40	0.019	
606.10	0.019	
606.90	0.019	
607.70	0.019	
608.40	0.018	
609.20	0.018	
609.90	0.018	
610.70	0.018	
611.40	0.019	
612.20	0.019	
612.90	0.019	
613.70	0.019	
614.40	0.019	
615.20	0.019	
615.90	0.019	
616.70	0.019	
617.40	0.019	
618.20	0.019	
618.90	0.019	
619.70	0.019	
620.40	0.019	
621.20	0.019	
621.90	0.019	
622.70	0.019	
623.40	0.019	
624.20	0.019	
624.90	0.019	
625.70	0.019	
626.40	0.019	
627.20	0.019	
627.90	0.019	
628.70	0.018	
629.40	0.019	
630.20	0.019	
630.90	0.019	
631.70	0.019	
632.40	0.019	
633.20	0.019	
633.90	0.019	
634.70	0.019	
635.40	0.019	
636.20	0.019	
636.90	0.018	
637.70	0.019	
638.40	0.018	
639.20	0.018	
639.90	0.018	
640.70	0.018	
641.40	0.018	
642.20	0.018	
642.90	0.018	
643.70	0.018	
644.50	0.018	
645.20	0.018	
646.00	0.018	
646.70	0.018	
647.50	0.018	
648.20	0.018	
649.00	0.018	
649.70	0.018	
650.50	0.018	
651.20	0.018	
652.00	0.018	
652.70	0.018	
653.50	0.018	
654.20	0.018	
655.00	0.018	
655.70	0.018	
656.50	0.018	
657.20	0.018	
658.00	0.018	
658.70	0.018	
659.50	0.018	
660.20	0.018	
661.00	0.018	
661.70	0.017	
662.50	0.017	
663.20	0.017	
664.00	0.017	
664.70	0.017	
665.50	0.017	
666.20	0.017	
667.00	0.017	
667.80	0.017	
668.50	0.017	
669.30	0.017	
670.00	0.017	
670.80	0.017	
671.60	0.017	
672.30	0.017	
673.10	0.017	
673.90	0.017	
674.60	0.017	
675.40	0.017	
676.20	0.017	
676.90	0.016	
677.70	0.016	
678.50	0.017	
679.20	0.017	
680.00	0.017	
680.70	0.017	
681.50	0.017	
682.30	0.017	
683.00	0.017	
683.80	0.017	
684.60	0.017	
685.30	0.017	
686.10	0.017	
686.90	0.017	
687.60	0.017	
688.40	0.017	
689.20	0.017	
689.90	0.017	
690.70	0.017	
691.50	0.017	
692.20	0.017	
693.00	0.017	
693.70	0.017	
694.50	0.017	
695.30	0.017	
696.00	0.016	
696.80	0.016	
697.60	0.016	
698.30	0.016	
699.10	0.016	
699.90	0.016	
700.60	0.016	
701.40	0.016	
702.20	0.016	
702.90	0.016	
703.70	0.016	
704.50	0.016	
705.20	0.016	
706.00	0.016	
706.80	0.016	
707.50	0.016	
708.30	0.016	
709.10	0.016	
709.90	0.016	
710.70	0.016	
711.50	0.016	
712.20	0.016	
713.00	0.016	
713.80	0.016	
714.60	0.016	
715.40	0.016	
716.20	0.016	
716.90	0.016	
717.70	0.016	
718.50	0.015	
719.30	0.015	
720.10	0.015	
720.90	0.015	
721.60	0.016	
722.40	0.016	
723.20	0.016	
724.00	0.016	
724.80	0.016	
725.60	0.016	
726.30	0.016	
727.10	0.016	
727.90	0.016	
728.70	0.016	
729.50	0.016	
730.30	0.016	
731.00	0.016	
731.80	0.016	
732.60	0.016	
733.40	0.016	
734.20	0.016	
735.00	0.016	
735.70	0.016	
736.50	0.016	
737.30	0.015	
738.10	0.015	
738.90	0.015	
739.70	0.015	
740.40	0.015	
741.20	0.015	
742.00	0.015	
742.80	0.016	
743.60	0.016	
744.40	0.016	
745.10	0.016	
745.90	0.016	
746.70	0.016	
747.50	0.016	
748.30	0.016	
749.10	0.016	
749.80	0.016	
750.60	0.016	
751.40	0.016	
752.20	0.016	
753.00	0.016	
753.80	0.016	
754.50	0.016	
755.30	0.016	
756.10	0.016	
756.90	0.016	
757.70	0.016	
758.50	0.016	
759.30	0.016	
760.00	0.016	
760.80	0.016	
761.60	0.016	
762.40	0.016	
763.20	0.016	
764.00	0.016	
764.70	0.016	
765.50	0.016	
766.30	0.016	
767.10	0.016	
767.90	0.016	
768.70	0.015	
769.40	0.015	
770.20	0.015	
771.00	0.016	
771.80	0.016	
772.60	0.016	
773.40	0.016	
774.10	0.016	
774.90	0.016	
775.70	0.016	
776.50	0.016	
777.30	0.016	
778.10	0.016	
778.80	0.016	
779.60	0.016	
780.40	0.016	
781.20	0.015	
782.00	0.015	
782.80	0.016	
783.50	0.015	
784.30	0.015	
785.10	0.015	
785.90	0.015	
786.70	0.015	
787.50	0.015	
788.20	0.015	
789.00	0.015	
789.80	0.015	
790.60	0.016	
791.40	0.016	
792.20	0.016	
792.90	0.015	
793.70	0.015	
794.50	0.015	
795.30	0.015	
796.10	0.015	
796.90	0.015	
797.60	0.015	
798.40	0.016	
799.20	0.016	
800.00	0.016	
800.80	0.016	
801.60	0.016	
802.30	0.016	
803.10	0.016	
803.90	0.016	
804.70	0.016	
805.50	0.016	
806.30	0.016	
807.10	0.016	
807.80	0.016	
808.60	0.016	
809.40	0.016	
810.20	0.016	
811.00	0.015	
811.80	0.015	
812.50	0.015	
813.30	0.016	
814.10	0.016	
814.90	0.016	
815.70	0.015	
816.50	0.015	
817.20	0.015	
818.00	0.015	
818.80	0.015	
819.60	0.015	
820.40	0.015	
821.20	0.016	
821.90	0.016	
822.70	0.016	
823.50	0.016	
824.30	0.016	
825.10	0.016	
825.90	0.016	
826.60	0.016	
827.40	0.016	
828.20	0.016	
829.00	0.015	
829.80	0.015	
830.60	0.015	
831.30	0.015	
832.20	0.015	
833.00	0.015	
833.80	0.015	
834.60	0.015	
835.50	0.015	
836.30	0.015	
837.10	0.015	
838.00	0.015	
838.80	0.016	
839.60	0.016	
840.50	0.016	
841.30	0.015	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.016	
845.40	0.016	
846.30	0.016	
847.10	0.016	
847.90	0.016	
848.80	0.016	
849.60	0.016	
850.40	0.016	
851.30	0.016	
852.10	0.016	
852.90	0.016	
853.70	0.016	
854.60	0.016	
855.40	0.016	
856.20	0.016	
857.10	0.016	
857.90	0.016	
858.70	0.016	
859.60	0.016	
860.40	0.016	
861.20	0.016	
862.10	0.016	
862.90	0.016	
863.70	0.016	
864.50	0.016	
865.40	0.016	
866.20	0.015	
867.00	0.016	
867.90	0.015	
868.70	0.015	
869.50	0.016	
870.40	0.016	
871.20	0.015	
872.00	0.016	
872.80	0.015	
873.70	0.016	
874.50	0.015	
875.30	0.015	
876.20	0.015	
877.00	0.015	
877.80	0.015	
878.70	0.015	
879.50	0.015	
880.30	0.015	
881.20	0.015	
882.00	0.015	
882.80	0.015	
883.60	0.015	
884.50	0.016	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.015	
892.00	0.016	
892.80	0.016	
893.60	0.016	
894.40	0.016	
895.30	0.016	
896.10	0.016	
896.90	0.016	
897.80	0.015	
898.60	0.015	
899.40	0.015	
