Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.022	
381.30	0.023	
382.20	0.023	
383.10	0.023	
384.00	0.023	
384.90	0.023	
385.80	0.023	
386.70	0.023	
387.60	0.024	
388.50	0.024	
389.40	0.023	
390.20	0.023	
391.10	0.023	
392.00	0.024	
392.90	0.024	
393.80	0.024	
394.70	0.024	
395.60	0.025	
396.50	0.025	
397.40	0.025	
398.30	0.026	
399.10	0.026	
400.00	0.026	
400.90	0.026	
401.80	0.026	
402.70	0.027	
403.60	0.027	
404.50	0.028	
405.40	0.028	
406.30	0.029	
407.20	0.030	
408.00	0.031	
408.90	0.032	
409.80	0.033	
410.70	0.034	
411.60	0.036	
412.50	0.038	
413.40	0.039	
414.30	0.042	
415.20	0.044	
416.00	0.047	
416.90	0.050	
417.80	0.054	
418.70	0.058	
419.60	0.064	
420.50	0.069	
421.40	0.075	
422.30	0.082	
423.20	0.090	
424.10	0.098	
424.90	0.107	
425.80	0.116	
426.70	0.126	
427.60	0.136	
428.50	0.147	
429.40	0.158	
430.30	0.169	
431.20	0.180	
432.10	0.192	
433.00	0.203	
433.80	0.215	
434.70	0.226	
435.60	0.238	
436.50	0.251	
437.40	0.263	
438.30	0.275	
439.20	0.287	
440.10	0.298	
441.00	0.310	
441.90	0.321	
442.70	0.331	
443.60	0.341	
444.50	0.350	
445.40	0.358	
446.30	0.366	
447.20	0.372	
448.10	0.376	
449.00	0.380	
449.90	0.381	
450.80	0.381	
451.60	0.380	
452.50	0.376	
453.40	0.372	
454.30	0.366	
455.20	0.360	
456.10	0.353	
457.00	0.344	
457.90	0.337	
458.80	0.329	
459.60	0.321	
460.50	0.313	
461.40	0.305	
462.30	0.298	
463.20	0.292	
464.10	0.286	
465.00	0.281	
465.90	0.277	
466.80	0.272	
467.70	0.269	
468.50	0.266	
469.40	0.263	
470.30	0.261	
471.20	0.258	
472.10	0.256	
473.00	0.254	
473.90	0.252	
474.80	0.250	
475.70	0.249	
476.60	0.247	
477.40	0.244	
478.30	0.243	
479.20	0.241	
480.10	0.239	
481.00	0.237	
481.90	0.235	
482.80	0.232	
483.70	0.230	
484.60	0.228	
485.50	0.225	
486.30	0.223	
487.20	0.220	
488.10	0.218	
489.00	0.216	
489.90	0.215	
490.80	0.213	
491.70	0.212	
492.60	0.211	
493.50	0.210	
494.40	0.210	
495.20	0.210	
496.10	0.211	
497.00	0.213	
497.90	0.214	
498.80	0.216	
499.70	0.219	
500.60	0.222	
501.50	0.225	
502.40	0.229	
503.20	0.233	
504.10	0.238	
505.00	0.243	
505.90	0.249	
506.80	0.254	
507.70	0.260	
508.60	0.266	
509.50	0.272	
510.40	0.278	
511.30	0.284	
512.20	0.289	
513.00	0.294	
513.80	0.300	
514.60	0.305	
515.50	0.309	
516.30	0.313	
517.10	0.318	
517.90	0.322	
518.80	0.324	
519.60	0.327	
520.40	0.329	
521.20	0.330	
522.10	0.331	
522.90	0.331	
523.70	0.332	
524.50	0.331	
525.40	0.331	
526.20	0.329	
527.00	0.327	
527.80	0.324	
528.70	0.321	
529.50	0.317	
530.30	0.313	
531.10	0.308	
532.00	0.303	
532.80	0.298	
533.60	0.292	
534.50	0.287	
535.30	0.283	
536.10	0.278	
536.90	0.273	
537.80	0.269	
538.60	0.266	
539.40	0.263	
540.20	0.259	
541.10	0.256	
541.90	0.254	
542.70	0.253	
543.50	0.251	
544.40	0.250	
545.20	0.249	
546.00	0.249	
546.80	0.249	
547.70	0.250	
548.50	0.250	
549.30	0.251	
550.10	0.251	
551.00	0.253	
551.80	0.254	
552.60	0.254	
553.50	0.255	
554.30	0.257	
555.10	0.259	
555.90	0.260	
556.80	0.262	
557.60	0.265	
558.40	0.267	
559.20	0.270	
560.10	0.272	
560.90	0.276	
561.70	0.280	
562.50	0.283	
563.40	0.286	
564.20	0.290	
565.00	0.293	
565.80	0.297	
566.70	0.298	
567.50	0.300	
568.30	0.302	
569.10	0.303	
570.00	0.304	
570.80	0.304	
571.60	0.304	
572.40	0.303	
573.30	0.301	
574.10	0.300	
574.90	0.298	
575.80	0.295	
576.60	0.291	
577.40	0.287	
578.20	0.282	
579.10	0.278	
579.90	0.273	
580.70	0.268	
581.50	0.264	
582.40	0.259	
583.20	0.255	
584.00	0.250	
584.80	0.245	
585.70	0.241	
586.50	0.236	
587.30	0.232	
588.10	0.228	
588.90	0.223	
589.60	0.219	
590.40	0.214	
591.10	0.211	
591.90	0.207	
592.60	0.202	
593.40	0.198	
594.10	0.193	
594.90	0.190	
595.60	0.186	
596.40	0.182	
597.10	0.178	
597.90	0.174	
598.60	0.170	
599.40	0.167	
600.10	0.164	
600.90	0.161	
601.60	0.157	
602.40	0.154	
603.10	0.152	
603.90	0.149	
604.60	0.147	
605.40	0.145	
606.10	0.144	
606.90	0.142	
607.70	0.141	
608.40	0.141	
609.20	0.140	
609.90	0.139	
610.70	0.138	
611.40	0.136	
612.20	0.135	
612.90	0.133	
613.70	0.131	
614.40	0.129	
615.20	0.127	
615.90	0.125	
616.70	0.125	
617.40	0.125	
618.20	0.124	
618.90	0.123	
619.70	0.123	
620.40	0.123	
621.20	0.123	
621.90	0.123	
622.70	0.122	
623.40	0.121	
624.20	0.120	
624.90	0.120	
625.70	0.119	
626.40	0.118	
627.20	0.117	
627.90	0.116	
628.70	0.116	
629.40	0.116	
630.20	0.115	
630.90	0.114	
631.70	0.113	
632.40	0.111	
633.20	0.110	
633.90	0.108	
634.70	0.106	
635.40	0.103	
636.20	0.100	
636.90	0.097	
637.70	0.095	
638.40	0.091	
639.20	0.088	
639.90	0.085	
640.70	0.082	
641.40	0.080	
642.20	0.078	
642.90	0.075	
643.70	0.073	
644.50	0.071	
645.20	0.069	
646.00	0.067	
646.70	0.065	
647.50	0.064	
648.20	0.062	
649.00	0.060	
649.70	0.058	
650.50	0.057	
651.20	0.055	
652.00	0.053	
652.70	0.052	
653.50	0.050	
654.20	0.049	
655.00	0.047	
655.70	0.045	
656.50	0.044	
657.20	0.043	
658.00	0.041	
658.70	0.040	
659.50	0.039	
660.20	0.038	
661.00	0.037	
661.70	0.037	
662.50	0.036	
663.20	0.035	
664.00	0.035	
664.70	0.035	
665.50	0.034	
666.20	0.033	
667.00	0.033	
667.80	0.033	
668.50	0.032	
669.30	0.032	
670.00	0.032	
670.80	0.032	
671.60	0.031	
672.30	0.031	
673.10	0.031	
673.90	0.031	
674.60	0.030	
675.40	0.030	
676.20	0.030	
676.90	0.029	
677.70	0.029	
678.50	0.029	
679.20	0.029	
680.00	0.028	
680.70	0.028	
681.50	0.028	
682.30	0.028	
683.00	0.028	
683.80	0.028	
684.60	0.027	
685.30	0.027	
686.10	0.027	
686.90	0.027	
687.60	0.027	
688.40	0.027	
689.20	0.026	
689.90	0.027	
690.70	0.027	
691.50	0.026	
692.20	0.026	
693.00	0.026	
693.70	0.025	
694.50	0.025	
695.30	0.025	
696.00	0.025	
696.80	0.025	
697.60	0.025	
698.30	0.025	
699.10	0.024	
699.90	0.024	
700.60	0.024	
701.40	0.024	
702.20	0.024	
702.90	0.024	
703.70	0.024	
704.50	0.024	
705.20	0.023	
706.00	0.023	
706.80	0.023	
707.50	0.023	
708.30	0.023	
709.10	0.023	
709.90	0.023	
710.70	0.023	
711.50	0.023	
712.20	0.023	
713.00	0.023	
713.80	0.022	
714.60	0.022	
715.40	0.022	
716.20	0.022	
716.90	0.021	
717.70	0.021	
718.50	0.021	
719.30	0.021	
720.10	0.021	
720.90	0.021	
721.60	0.020	
722.40	0.021	
723.20	0.020	
724.00	0.020	
724.80	0.020	
725.60	0.020	
726.30	0.020	
727.10	0.020	
727.90	0.020	
728.70	0.020	
729.50	0.019	
730.30	0.019	
731.00	0.020	
731.80	0.020	
732.60	0.020	
733.40	0.019	
734.20	0.019	
735.00	0.019	
735.70	0.019	
736.50	0.019	
737.30	0.019	
738.10	0.019	
738.90	0.019	
739.70	0.019	
740.40	0.019	
741.20	0.019	
742.00	0.019	
742.80	0.019	
743.60	0.019	
744.40	0.019	
745.10	0.019	
745.90	0.019	
746.70	0.019	
747.50	0.019	
748.30	0.019	
749.10	0.019	
749.80	0.019	
750.60	0.019	
751.40	0.019	
752.20	0.019	
753.00	0.019	
753.80	0.019	
754.50	0.019	
755.30	0.019	
756.10	0.019	
756.90	0.019	
757.70	0.019	
758.50	0.019	
759.30	0.018	
760.00	0.018	
760.80	0.018	
761.60	0.018	
762.40	0.018	
763.20	0.018	
764.00	0.018	
764.70	0.018	
765.50	0.018	
766.30	0.018	
767.10	0.018	
767.90	0.018	
768.70	0.018	
769.40	0.018	
770.20	0.018	
771.00	0.018	
771.80	0.018	
772.60	0.018	
773.40	0.018	
774.10	0.018	
774.90	0.018	
775.70	0.018	
776.50	0.018	
777.30	0.018	
778.10	0.018	
778.80	0.018	
779.60	0.018	
780.40	0.018	
781.20	0.018	
782.00	0.018	
782.80	0.018	
783.50	0.018	
784.30	0.018	
785.10	0.018	
785.90	0.018	
786.70	0.018	
787.50	0.018	
788.20	0.018	
789.00	0.017	
789.80	0.017	
790.60	0.017	
791.40	0.017	
792.20	0.017	
792.90	0.017	
793.70	0.018	
794.50	0.017	
795.30	0.017	
796.10	0.018	
796.90	0.018	
797.60	0.018	
798.40	0.017	
799.20	0.018	
800.00	0.018	
800.80	0.017	
801.60	0.017	
802.30	0.017	
803.10	0.017	
803.90	0.017	
804.70	0.017	
805.50	0.017	
806.30	0.017	
807.10	0.017	
807.80	0.017	
808.60	0.017	
809.40	0.017	
810.20	0.017	
811.00	0.017	
811.80	0.017	
812.50	0.017	
813.30	0.017	
814.10	0.017	
814.90	0.017	
815.70	0.017	
816.50	0.017	
817.20	0.017	
818.00	0.017	
818.80	0.017	
819.60	0.017	
820.40	0.017	
821.20	0.017	
821.90	0.017	
822.70	0.017	
823.50	0.017	
824.30	0.017	
825.10	0.017	
825.90	0.017	
826.60	0.017	
827.40	0.017	
828.20	0.017	
829.00	0.017	
829.80	0.017	
830.60	0.017	
831.30	0.017	
832.20	0.017	
833.00	0.017	
833.80	0.017	
834.60	0.017	
835.50	0.017	
836.30	0.017	
837.10	0.017	
838.00	0.017	
838.80	0.018	
839.60	0.017	
840.50	0.017	
841.30	0.017	
842.10	0.017	
842.90	0.017	
843.80	0.017	
844.60	0.017	
845.40	0.017	
846.30	0.017	
847.10	0.017	
847.90	0.017	
848.80	0.017	
849.60	0.017	
850.40	0.017	
851.30	0.017	
852.10	0.017	
852.90	0.017	
853.70	0.017	
854.60	0.017	
855.40	0.017	
856.20	0.017	
857.10	0.017	
857.90	0.017	
858.70	0.017	
859.60	0.017	
860.40	0.017	
861.20	0.017	
862.10	0.017	
862.90	0.016	
863.70	0.016	
864.50	0.017	
865.40	0.017	
866.20	0.017	
867.00	0.017	
867.90	0.017	
868.70	0.017	
869.50	0.017	
870.40	0.017	
871.20	0.017	
872.00	0.017	
872.80	0.017	
873.70	0.017	
874.50	0.017	
875.30	0.017	
876.20	0.017	
877.00	0.017	
877.80	0.017	
878.70	0.017	
879.50	0.017	
880.30	0.017	
881.20	0.017	
882.00	0.017	
882.80	0.017	
883.60	0.017	
884.50	0.017	
885.30	0.017	
886.10	0.017	
887.00	0.017	
887.80	0.017	
888.60	0.017	
889.50	0.017	
890.30	0.017	
891.10	0.017	
892.00	0.017	
892.80	0.017	
893.60	0.017	
894.40	0.017	
895.30	0.017	
896.10	0.017	
896.90	0.017	
897.80	0.017	
898.60	0.017	
899.40	0.017	
900.30	0.017	
901.10	0.017	
901.90	0.017	
902.80	0.017	
903.60	0.017	
904.40	0.017	
905.20	0.017	
906.10	0.017	
906.90	0.017	
907.70	0.017	
908.60	0.017	
909.40	0.017	
910.20	0.016	
911.10	0.017	
911.90	0.016	
912.70	0.017	
913.50	0.017	
914.40	0.017	
915.20	0.017	
916.00	0.017	
916.90	0.017	
917.70	0.017	
918.50	0.017	
919.40	0.017	
920.20	0.017	
921.00	0.017	
921.90	0.017	
922.70	0.017	
923.50	0.017	
924.30	0.017	
925.20	0.017	
926.00	0.017	
926.80	0.017	
927.70	0.017	
928.50	0.017	
929.30	0.017	
930.20	0.017	
931.00	0.017	
931.80	0.017	
932.70	0.017	
933.50	0.017	
934.30	0.017	
935.10	0.017	
936.00	0.017	
936.80	0.017	
937.60	0.017	
938.50	0.018	
939.30	0.018	
940.20	0.018	
941.00	0.018	
941.80	0.018	
942.60	0.018	
943.50	0.018	
944.30	0.017	
945.10	0.017	
