Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.016	
381.30	0.016	
382.20	0.016	
383.10	0.016	
384.00	0.016	
384.90	0.016	
385.80	0.016	
386.70	0.015	
387.60	0.015	
388.50	0.015	
389.40	0.015	
390.20	0.015	
391.10	0.015	
392.00	0.016	
392.90	0.016	
393.80	0.015	
394.70	0.015	
395.60	0.015	
396.50	0.016	
397.40	0.016	
398.30	0.016	
399.10	0.016	
400.00	0.016	
400.90	0.016	
401.80	0.016	
402.70	0.016	
403.60	0.016	
404.50	0.015	
405.40	0.015	
406.30	0.016	
407.20	0.016	
408.00	0.016	
408.90	0.016	
409.80	0.016	
410.70	0.016	
411.60	0.017	
412.50	0.017	
413.40	0.017	
414.30	0.017	
415.20	0.017	
416.00	0.017	
416.90	0.017	
417.80	0.017	
418.70	0.017	
419.60	0.017	
420.50	0.017	
421.40	0.017	
422.30	0.017	
423.20	0.018	
424.10	0.018	
424.90	0.018	
425.80	0.018	
426.70	0.018	
427.60	0.018	
428.50	0.018	
429.40	0.018	
430.30	0.018	
431.20	0.018	
432.10	0.018	
433.00	0.018	
433.80	0.019	
434.70	0.019	
435.60	0.019	
436.50	0.019	
437.40	0.019	
438.30	0.019	
439.20	0.019	
440.10	0.019	
441.00	0.019	
441.90	0.019	
442.70	0.019	
443.60	0.019	
444.50	0.019	
445.40	0.019	
446.30	0.020	
447.20	0.019	
448.10	0.020	
449.00	0.020	
449.90	0.019	
450.80	0.019	
451.60	0.019	
452.50	0.019	
453.40	0.019	
454.30	0.019	
455.20	0.019	
456.10	0.019	
457.00	0.019	
457.90	0.019	
458.80	0.019	
459.60	0.019	
460.50	0.019	
461.40	0.019	
462.30	0.019	
463.20	0.019	
464.10	0.019	
465.00	0.019	
465.90	0.019	
466.80	0.019	
467.70	0.019	
468.50	0.019	
469.40	0.019	
470.30	0.019	
471.20	0.019	
472.10	0.019	
473.00	0.019	
473.90	0.019	
474.80	0.019	
475.70	0.019	
476.60	0.019	
477.40	0.019	
478.30	0.019	
479.20	0.019	
480.10	0.019	
481.00	0.019	
481.90	0.019	
482.80	0.019	
483.70	0.019	
484.60	0.019	
485.50	0.019	
486.30	0.019	
487.20	0.019	
488.10	0.019	
489.00	0.019	
489.90	0.019	
490.80	0.019	
491.70	0.019	
492.60	0.019	
493.50	0.019	
494.40	0.019	
495.20	0.019	
496.10	0.019	
497.00	0.019	
497.90	0.019	
498.80	0.019	
499.70	0.019	
500.60	0.019	
501.50	0.019	
502.40	0.019	
503.20	0.019	
504.10	0.019	
505.00	0.019	
505.90	0.019	
506.80	0.019	
507.70	0.019	
508.60	0.019	
509.50	0.019	
510.40	0.019	
511.30	0.019	
512.20	0.019	
513.00	0.019	
513.80	0.019	
514.60	0.020	
515.50	0.020	
516.30	0.020	
517.10	0.020	
517.90	0.020	
518.80	0.021	
519.60	0.020	
520.40	0.020	
521.20	0.020	
522.10	0.020	
522.90	0.020	
523.70	0.020	
524.50	0.020	
525.40	0.020	
526.20	0.020	
527.00	0.020	
527.80	0.020	
528.70	0.019	
529.50	0.020	
530.30	0.020	
531.10	0.019	
532.00	0.020	
532.80	0.020	
533.60	0.020	
534.50	0.019	
535.30	0.019	
536.10	0.019	
536.90	0.020	
537.80	0.020	
538.60	0.020	
539.40	0.020	
540.20	0.020	
541.10	0.020	
541.90	0.020	
542.70	0.020	
543.50	0.020	
544.40	0.019	
545.20	0.019	
546.00	0.019	
546.80	0.019	
547.70	0.019	
548.50	0.019	
549.30	0.019	
550.10	0.019	
551.00	0.019	
551.80	0.019	
552.60	0.019	
553.50	0.019	
554.30	0.019	
555.10	0.019	
555.90	0.019	
556.80	0.019	
557.60	0.020	
558.40	0.019	
559.20	0.020	
560.10	0.020	
560.90	0.020	
561.70	0.020	
562.50	0.020	
563.40	0.020	
564.20	0.020	
565.00	0.020	
565.80	0.020	
566.70	0.020	
567.50	0.020	
568.30	0.020	
569.10	0.020	
570.00	0.020	
570.80	0.020	
571.60	0.020	
572.40	0.020	
573.30	0.020	
574.10	0.020	
574.90	0.020	
575.80	0.020	
576.60	0.020	
577.40	0.020	
578.20	0.020	
579.10	0.020	
579.90	0.020	
580.70	0.020	
581.50	0.020	
582.40	0.020	
583.20	0.020	
584.00	0.020	
584.80	0.020	
585.70	0.020	
586.50	0.020	
587.30	0.020	
588.10	0.020	
588.90	0.020	
589.60	0.020	
590.40	0.020	
591.10	0.020	
591.90	0.020	
592.60	0.020	
593.40	0.020	
594.10	0.020	
594.90	0.020	
595.60	0.020	
596.40	0.020	
597.10	0.020	
597.90	0.020	
598.60	0.020	
599.40	0.020	
600.10	0.020	
600.90	0.020	
601.60	0.020	
602.40	0.020	
603.10	0.020	
603.90	0.020	
604.60	0.020	
605.40	0.020	
606.10	0.020	
606.90	0.020	
607.70	0.020	
608.40	0.020	
609.20	0.019	
609.90	0.019	
610.70	0.019	
611.40	0.019	
612.20	0.019	
612.90	0.019	
613.70	0.019	
614.40	0.019	
615.20	0.019	
615.90	0.019	
616.70	0.019	
617.40	0.019	
618.20	0.020	
618.90	0.020	
619.70	0.020	
620.40	0.020	
621.20	0.020	
621.90	0.020	
622.70	0.020	
623.40	0.020	
624.20	0.020	
624.90	0.020	
625.70	0.020	
626.40	0.020	
627.20	0.020	
627.90	0.020	
628.70	0.020	
629.40	0.020	
630.20	0.020	
630.90	0.020	
631.70	0.020	
632.40	0.020	
633.20	0.020	
633.90	0.020	
634.70	0.020	
635.40	0.020	
636.20	0.019	
636.90	0.019	
637.70	0.019	
638.40	0.020	
639.20	0.020	
639.90	0.020	
640.70	0.020	
641.40	0.020	
642.20	0.020	
642.90	0.020	
643.70	0.020	
644.50	0.019	
645.20	0.019	
646.00	0.019	
646.70	0.019	
647.50	0.019	
648.20	0.019	
649.00	0.019	
649.70	0.019	
650.50	0.019	
651.20	0.019	
652.00	0.019	
652.70	0.019	
653.50	0.019	
654.20	0.019	
655.00	0.019	
655.70	0.019	
656.50	0.019	
657.20	0.019	
658.00	0.019	
658.70	0.019	
659.50	0.018	
660.20	0.018	
661.00	0.019	
661.70	0.019	
662.50	0.019	
663.20	0.019	
664.00	0.018	
664.70	0.019	
665.50	0.018	
666.20	0.018	
667.00	0.018	
667.80	0.018	
668.50	0.018	
669.30	0.018	
670.00	0.018	
670.80	0.018	
671.60	0.018	
672.30	0.018	
673.10	0.018	
673.90	0.018	
674.60	0.018	
675.40	0.018	
676.20	0.018	
676.90	0.018	
677.70	0.018	
678.50	0.018	
679.20	0.017	
680.00	0.017	
680.70	0.017	
681.50	0.017	
682.30	0.017	
683.00	0.017	
683.80	0.017	
684.60	0.017	
685.30	0.017	
686.10	0.017	
686.90	0.017	
687.60	0.017	
688.40	0.018	
689.20	0.018	
689.90	0.018	
690.70	0.018	
691.50	0.018	
692.20	0.018	
693.00	0.017	
693.70	0.017	
694.50	0.017	
695.30	0.017	
696.00	0.017	
696.80	0.017	
697.60	0.017	
698.30	0.017	
699.10	0.017	
699.90	0.017	
700.60	0.017	
701.40	0.017	
702.20	0.017	
702.90	0.017	
703.70	0.017	
704.50	0.017	
705.20	0.017	
706.00	0.017	
706.80	0.017	
707.50	0.017	
708.30	0.017	
709.10	0.017	
709.90	0.016	
710.70	0.016	
711.50	0.016	
712.20	0.016	
713.00	0.016	
713.80	0.016	
714.60	0.016	
715.40	0.016	
716.20	0.016	
716.90	0.015	
717.70	0.016	
718.50	0.015	
719.30	0.016	
720.10	0.016	
720.90	0.016	
721.60	0.016	
722.40	0.016	
723.20	0.016	
724.00	0.016	
724.80	0.016	
725.60	0.016	
726.30	0.016	
727.10	0.016	
727.90	0.016	
728.70	0.016	
729.50	0.016	
730.30	0.016	
731.00	0.016	
731.80	0.016	
732.60	0.016	
733.40	0.016	
734.20	0.016	
735.00	0.016	
735.70	0.016	
736.50	0.016	
737.30	0.016	
738.10	0.015	
738.90	0.015	
739.70	0.015	
740.40	0.015	
741.20	0.015	
742.00	0.016	
742.80	0.016	
743.60	0.016	
744.40	0.016	
745.10	0.016	
745.90	0.016	
746.70	0.016	
747.50	0.015	
748.30	0.015	
749.10	0.015	
749.80	0.015	
750.60	0.016	
751.40	0.016	
752.20	0.016	
753.00	0.016	
753.80	0.016	
754.50	0.016	
755.30	0.016	
756.10	0.016	
756.90	0.016	
757.70	0.016	
758.50	0.016	
759.30	0.016	
760.00	0.016	
760.80	0.016	
761.60	0.016	
762.40	0.016	
763.20	0.016	
764.00	0.016	
764.70	0.016	
765.50	0.016	
766.30	0.016	
767.10	0.016	
767.90	0.016	
768.70	0.016	
769.40	0.016	
770.20	0.016	
771.00	0.016	
771.80	0.016	
772.60	0.016	
773.40	0.016	
774.10	0.016	
774.90	0.016	
775.70	0.016	
776.50	0.016	
777.30	0.015	
778.10	0.015	
778.80	0.015	
779.60	0.015	
780.40	0.015	
781.20	0.016	
782.00	0.016	
782.80	0.016	
783.50	0.016	
784.30	0.016	
785.10	0.016	
785.90	0.016	
786.70	0.016	
787.50	0.016	
788.20	0.016	
789.00	0.015	
789.80	0.015	
790.60	0.016	
791.40	0.015	
792.20	0.015	
792.90	0.015	
793.70	0.015	
794.50	0.015	
795.30	0.015	
796.10	0.015	
796.90	0.016	
797.60	0.015	
798.40	0.016	
799.20	0.016	
800.00	0.015	
800.80	0.015	
801.60	0.015	
802.30	0.015	
803.10	0.015	
803.90	0.015	
804.70	0.015	
805.50	0.015	
806.30	0.015	
807.10	0.015	
807.80	0.016	
808.60	0.016	
809.40	0.016	
810.20	0.016	
811.00	0.016	
811.80	0.016	
812.50	0.016	
813.30	0.016	
814.10	0.015	
814.90	0.015	
815.70	0.015	
816.50	0.015	
817.20	0.015	
818.00	0.015	
818.80	0.016	
819.60	0.015	
820.40	0.015	
821.20	0.015	
821.90	0.015	
822.70	0.015	
823.50	0.016	
824.30	0.016	
825.10	0.016	
825.90	0.016	
826.60	0.016	
827.40	0.016	
828.20	0.016	
829.00	0.016	
829.80	0.016	
830.60	0.016	
831.30	0.016	
832.20	0.015	
833.00	0.016	
833.80	0.016	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.016	
838.00	0.016	
838.80	0.016	
839.60	0.016	
840.50	0.016	
841.30	0.016	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.015	
845.40	0.016	
846.30	0.016	
847.10	0.016	
847.90	0.015	
848.80	0.015	
849.60	0.015	
850.40	0.016	
851.30	0.015	
852.10	0.015	
852.90	0.015	
853.70	0.016	
854.60	0.016	
855.40	0.016	
856.20	0.016	
857.10	0.016	
857.90	0.016	
858.70	0.016	
859.60	0.016	
860.40	0.016	
861.20	0.016	
862.10	0.016	
862.90	0.016	
863.70	0.016	
864.50	0.016	
865.40	0.015	
866.20	0.015	
867.00	0.015	
867.90	0.015	
868.70	0.015	
869.50	0.016	
870.40	0.016	
871.20	0.015	
872.00	0.016	
872.80	0.016	
873.70	0.015	
874.50	0.016	
875.30	0.015	
876.20	0.015	
877.00	0.015	
877.80	0.015	
878.70	0.015	
879.50	0.015	
880.30	0.015	
881.20	0.015	
882.00	0.015	
882.80	0.015	
883.60	0.015	
884.50	0.015	
885.30	0.015	
886.10	0.015	
887.00	0.015	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.016	
892.80	0.016	
893.60	0.016	
894.40	0.016	
895.30	0.015	
896.10	0.016	
896.90	0.015	
897.80	0.015	
898.60	0.015	
899.40	0.015	
900.30	0.015	
901.10	0.015	
901.90	0.015	
902.80	0.015	
903.60	0.015	
904.40	0.015	
905.20	0.015	
906.10	0.016	
906.90	0.016	
907.70	0.016	
908.60	0.016	
909.40	0.016	
910.20	0.016	
911.10	0.016	
911.90	0.016	
912.70	0.016	
913.50	0.016	
914.40	0.016	
915.20	0.016	
916.00	0.016	
916.90	0.016	
917.70	0.016	
918.50	0.015	
919.40	0.015	
920.20	0.015	
921.00	0.015	
921.90	0.015	
922.70	0.015	
923.50	0.015	
924.30	0.016	
925.20	0.016	
926.00	0.015	
926.80	0.015	
927.70	0.015	
928.50	0.015	
929.30	0.016	
930.20	0.016	
931.00	0.016	
931.80	0.016	
932.70	0.016	
933.50	0.016	
934.30	0.016	
935.10	0.016	
936.00	0.015	
936.80	0.015	
937.60	0.015	
938.50	0.015	
939.30	0.015	
940.20	0.015	
941.00	0.015	
941.80	0.015	
942.60	0.015	
943.50	0.015	
944.30	0.015	
945.10	0.016	
