Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.018	
381.30	0.018	
382.20	0.018	
383.10	0.018	
384.00	0.019	
384.90	0.019	
385.80	0.019	
386.70	0.019	
387.60	0.018	
388.50	0.019	
389.40	0.019	
390.20	0.019	
391.10	0.019	
392.00	0.018	
392.90	0.018	
393.80	0.018	
394.70	0.018	
395.60	0.019	
396.50	0.019	
397.40	0.019	
398.30	0.019	
399.10	0.019	
400.00	0.018	
400.90	0.019	
401.80	0.019	
402.70	0.019	
403.60	0.019	
404.50	0.019	
405.40	0.019	
406.30	0.020	
407.20	0.020	
408.00	0.020	
408.90	0.020	
409.80	0.020	
410.70	0.020	
411.60	0.021	
412.50	0.021	
413.40	0.022	
414.30	0.022	
415.20	0.022	
416.00	0.022	
416.90	0.023	
417.80	0.023	
418.70	0.023	
419.60	0.023	
420.50	0.023	
421.40	0.024	
422.30	0.024	
423.20	0.025	
424.10	0.025	
424.90	0.026	
425.80	0.027	
426.70	0.027	
427.60	0.027	
428.50	0.028	
429.40	0.029	
430.30	0.029	
431.20	0.029	
432.10	0.029	
433.00	0.030	
433.80	0.031	
434.70	0.032	
435.60	0.034	
436.50	0.034	
437.40	0.035	
438.30	0.035	
439.20	0.035	
440.10	0.036	
441.00	0.038	
441.90	0.039	
442.70	0.039	
443.60	0.039	
444.50	0.040	
445.40	0.041	
446.30	0.042	
447.20	0.042	
448.10	0.042	
449.00	0.042	
449.90	0.043	
450.80	0.043	
451.60	0.043	
452.50	0.043	
453.40	0.042	
454.30	0.041	
455.20	0.040	
456.10	0.039	
457.00	0.039	
457.90	0.038	
458.80	0.037	
459.60	0.038	
460.50	0.037	
461.40	0.037	
462.30	0.035	
463.20	0.035	
464.10	0.034	
465.00	0.034	
465.90	0.033	
466.80	0.033	
467.70	0.033	
468.50	0.033	
469.40	0.033	
470.30	0.033	
471.20	0.033	
472.10	0.033	
473.00	0.033	
473.90	0.033	
474.80	0.033	
475.70	0.033	
476.60	0.033	
477.40	0.033	
478.30	0.033	
479.20	0.032	
480.10	0.032	
481.00	0.032	
481.90	0.032	
482.80	0.032	
483.70	0.033	
484.60	0.033	
485.50	0.033	
486.30	0.032	
487.20	0.032	
488.10	0.032	
489.00	0.032	
489.90	0.032	
490.80	0.032	
491.70	0.032	
492.60	0.032	
493.50	0.031	
494.40	0.032	
495.20	0.032	
496.10	0.033	
497.00	0.033	
497.90	0.033	
498.80	0.032	
499.70	0.033	
500.60	0.034	
501.50	0.034	
502.40	0.034	
503.20	0.034	
504.10	0.034	
505.00	0.034	
505.90	0.036	
506.80	0.037	
507.70	0.038	
508.60	0.037	
509.50	0.038	
510.40	0.038	
511.30	0.040	
512.20	0.040	
513.00	0.041	
513.80	0.041	
514.60	0.042	
515.50	0.042	
516.30	0.043	
517.10	0.043	
517.90	0.043	
518.80	0.044	
519.60	0.044	
520.40	0.045	
521.20	0.045	
522.10	0.045	
522.90	0.046	
523.70	0.046	
524.50	0.046	
525.40	0.045	
526.20	0.046	
527.00	0.047	
527.80	0.047	
528.70	0.047	
529.50	0.046	
530.30	0.046	
531.10	0.044	
532.00	0.044	
532.80	0.043	
533.60	0.043	
534.50	0.043	
535.30	0.042	
536.10	0.041	
536.90	0.041	
537.80	0.041	
538.60	0.041	
539.40	0.041	
540.20	0.040	
541.10	0.039	
541.90	0.039	
542.70	0.039	
543.50	0.039	
544.40	0.039	
545.20	0.039	
546.00	0.039	
546.80	0.040	
547.70	0.039	
548.50	0.040	
549.30	0.040	
550.10	0.040	
551.00	0.039	
551.80	0.039	
552.60	0.040	
553.50	0.040	
554.30	0.041	
555.10	0.040	
555.90	0.040	
556.80	0.041	
557.60	0.041	
558.40	0.042	
559.20	0.042	
560.10	0.042	
560.90	0.042	
561.70	0.041	
562.50	0.042	
563.40	0.043	
564.20	0.043	
565.00	0.043	
565.80	0.043	
566.70	0.044	
567.50	0.044	
568.30	0.044	
569.10	0.044	
570.00	0.044	
570.80	0.044	
571.60	0.043	
572.40	0.043	
573.30	0.044	
574.10	0.044	
574.90	0.044	
575.80	0.042	
576.60	0.042	
577.40	0.042	
578.20	0.042	
579.10	0.041	
579.90	0.040	
580.70	0.040	
581.50	0.040	
582.40	0.039	
583.20	0.038	
584.00	0.038	
584.80	0.038	
585.70	0.037	
586.50	0.037	
587.30	0.036	
588.10	0.036	
588.90	0.036	
589.60	0.036	
590.40	0.035	
591.10	0.034	
591.90	0.034	
592.60	0.034	
593.40	0.034	
594.10	0.034	
594.90	0.033	
595.60	0.033	
596.40	0.032	
597.10	0.032	
597.90	0.031	
598.60	0.031	
599.40	0.031	
600.10	0.031	
600.90	0.031	
601.60	0.031	
602.40	0.031	
603.10	0.030	
603.90	0.030	
604.60	0.029	
605.40	0.029	
606.10	0.029	
606.90	0.029	
607.70	0.029	
608.40	0.029	
609.20	0.029	
609.90	0.029	
610.70	0.030	
611.40	0.030	
612.20	0.029	
612.90	0.029	
613.70	0.028	
614.40	0.029	
615.20	0.028	
615.90	0.028	
616.70	0.028	
617.40	0.028	
618.20	0.028	
618.90	0.028	
619.70	0.028	
620.40	0.028	
621.20	0.027	
621.90	0.028	
622.70	0.028	
623.40	0.028	
624.20	0.028	
624.90	0.028	
625.70	0.028	
626.40	0.028	
627.20	0.028	
627.90	0.028	
628.70	0.028	
629.40	0.028	
630.20	0.028	
630.90	0.028	
631.70	0.028	
632.40	0.028	
633.20	0.028	
633.90	0.027	
634.70	0.027	
635.40	0.027	
636.20	0.027	
636.90	0.027	
637.70	0.027	
638.40	0.026	
639.20	0.027	
639.90	0.027	
640.70	0.027	
641.40	0.026	
642.20	0.025	
642.90	0.025	
643.70	0.025	
644.50	0.025	
645.20	0.025	
646.00	0.025	
646.70	0.025	
647.50	0.025	
648.20	0.024	
649.00	0.023	
649.70	0.023	
650.50	0.023	
651.20	0.023	
652.00	0.023	
652.70	0.023	
653.50	0.023	
654.20	0.022	
655.00	0.023	
655.70	0.023	
656.50	0.023	
657.20	0.023	
658.00	0.023	
658.70	0.022	
659.50	0.022	
660.20	0.022	
661.00	0.021	
661.70	0.021	
662.50	0.021	
663.20	0.021	
664.00	0.021	
664.70	0.021	
665.50	0.021	
666.20	0.021	
667.00	0.021	
667.80	0.021	
668.50	0.021	
669.30	0.021	
670.00	0.021	
670.80	0.021	
671.60	0.020	
672.30	0.020	
673.10	0.020	
673.90	0.020	
674.60	0.021	
675.40	0.020	
676.20	0.020	
676.90	0.020	
677.70	0.021	
678.50	0.021	
679.20	0.020	
680.00	0.020	
680.70	0.020	
681.50	0.020	
682.30	0.019	
683.00	0.020	
683.80	0.021	
684.60	0.021	
685.30	0.021	
686.10	0.021	
686.90	0.020	
687.60	0.020	
688.40	0.020	
689.20	0.020	
689.90	0.019	
690.70	0.020	
691.50	0.020	
692.20	0.020	
693.00	0.020	
693.70	0.019	
694.50	0.019	
695.30	0.020	
696.00	0.020	
696.80	0.020	
697.60	0.020	
698.30	0.019	
699.10	0.019	
699.90	0.019	
700.60	0.019	
701.40	0.019	
702.20	0.019	
702.90	0.019	
703.70	0.019	
704.50	0.019	
705.20	0.020	
706.00	0.020	
706.80	0.019	
707.50	0.019	
708.30	0.019	
709.10	0.019	
709.90	0.019	
710.70	0.019	
711.50	0.019	
712.20	0.019	
713.00	0.019	
713.80	0.019	
714.60	0.020	
715.40	0.019	
716.20	0.019	
716.90	0.018	
717.70	0.019	
718.50	0.018	
719.30	0.018	
720.10	0.018	
720.90	0.018	
721.60	0.018	
722.40	0.018	
723.20	0.018	
724.00	0.018	
724.80	0.018	
725.60	0.019	
726.30	0.018	
727.10	0.018	
727.90	0.017	
728.70	0.017	
729.50	0.017	
730.30	0.018	
731.00	0.018	
731.80	0.018	
732.60	0.017	
733.40	0.017	
734.20	0.018	
735.00	0.018	
735.70	0.018	
736.50	0.017	
737.30	0.017	
738.10	0.017	
738.90	0.017	
739.70	0.017	
740.40	0.017	
741.20	0.017	
742.00	0.018	
742.80	0.018	
743.60	0.018	
744.40	0.018	
745.10	0.018	
745.90	0.018	
746.70	0.017	
747.50	0.017	
748.30	0.017	
749.10	0.018	
749.80	0.017	
750.60	0.018	
751.40	0.017	
752.20	0.017	
753.00	0.018	
753.80	0.017	
754.50	0.017	
755.30	0.016	
756.10	0.017	
756.90	0.018	
757.70	0.018	
758.50	0.018	
759.30	0.017	
760.00	0.016	
760.80	0.017	
761.60	0.017	
762.40	0.017	
763.20	0.017	
764.00	0.017	
764.70	0.018	
765.50	0.018	
766.30	0.018	
767.10	0.017	
767.90	0.017	
768.70	0.016	
769.40	0.016	
770.20	0.016	
771.00	0.016	
771.80	0.016	
772.60	0.017	
773.40	0.017	
774.10	0.017	
774.90	0.017	
775.70	0.017	
776.50	0.017	
777.30	0.017	
778.10	0.016	
778.80	0.017	
779.60	0.016	
780.40	0.017	
781.20	0.017	
782.00	0.016	
782.80	0.017	
783.50	0.016	
784.30	0.016	
785.10	0.017	
785.90	0.017	
786.70	0.017	
787.50	0.017	
788.20	0.016	
789.00	0.016	
789.80	0.016	
790.60	0.016	
791.40	0.016	
792.20	0.017	
792.90	0.017	
793.70	0.016	
794.50	0.016	
795.30	0.016	
796.10	0.017	
796.90	0.016	
797.60	0.017	
798.40	0.016	
799.20	0.016	
800.00	0.017	
800.80	0.017	
801.60	0.017	
802.30	0.016	
803.10	0.016	
803.90	0.016	
804.70	0.016	
805.50	0.016	
806.30	0.017	
807.10	0.017	
807.80	0.017	
808.60	0.017	
809.40	0.017	
810.20	0.016	
811.00	0.016	
811.80	0.015	
812.50	0.016	
813.30	0.015	
814.10	0.016	
814.90	0.016	
815.70	0.017	
816.50	0.017	
817.20	0.016	
818.00	0.016	
818.80	0.016	
819.60	0.016	
820.40	0.017	
821.20	0.017	
821.90	0.017	
822.70	0.016	
823.50	0.016	
824.30	0.016	
825.10	0.018	
825.90	0.017	
826.60	0.017	
827.40	0.016	
828.20	0.017	
829.00	0.017	
829.80	0.016	
830.60	0.016	
831.30	0.016	
832.20	0.017	
833.00	0.017	
833.80	0.017	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.016	
838.00	0.016	
838.80	0.017	
839.60	0.017	
840.50	0.016	
841.30	0.016	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.017	
845.40	0.018	
846.30	0.017	
847.10	0.017	
847.90	0.017	
848.80	0.017	
849.60	0.016	
850.40	0.016	
851.30	0.016	
852.10	0.016	
852.90	0.016	
853.70	0.016	
854.60	0.016	
855.40	0.016	
856.20	0.016	
857.10	0.016	
857.90	0.016	
858.70	0.016	
859.60	0.016	
860.40	0.016	
861.20	0.016	
862.10	0.016	
862.90	0.016	
863.70	0.016	
864.50	0.016	
865.40	0.016	
866.20	0.016	
867.00	0.016	
867.90	0.016	
868.70	0.016	
869.50	0.016	
870.40	0.016	
871.20	0.016	
872.00	0.016	
872.80	0.016	
873.70	0.016	
874.50	0.016	
875.30	0.016	
876.20	0.016	
877.00	0.016	
877.80	0.016	
878.70	0.016	
879.50	0.016	
880.30	0.016	
881.20	0.017	
882.00	0.017	
882.80	0.017	
883.60	0.017	
884.50	0.017	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.016	
892.80	0.017	
893.60	0.017	
894.40	0.017	
895.30	0.017	
896.10	0.017	
896.90	0.017	
897.80	0.017	
898.60	0.017	
899.40	0.016	
900.30	0.016	
901.10	0.016	
901.90	0.016	
902.80	0.016	
903.60	0.016	
904.40	0.016	
905.20	0.016	
906.10	0.016	
906.90	0.016	
907.70	0.016	
908.60	0.016	
909.40	0.016	
910.20	0.016	
911.10	0.016	
911.90	0.016	
912.70	0.017	
913.50	0.016	
914.40	0.016	
915.20	0.016	
916.00	0.017	
916.90	0.017	
917.70	0.016	
918.50	0.016	
919.40	0.017	
920.20	0.017	
921.00	0.017	
921.90	0.016	
922.70	0.016	
923.50	0.017	
924.30	0.017	
925.20	0.016	
926.00	0.016	
926.80	0.016	
927.70	0.016	
928.50	0.015	
929.30	0.016	
930.20	0.016	
931.00	0.016	
931.80	0.016	
932.70	0.016	
933.50	0.017	
934.30	0.017	
935.10	0.016	
936.00	0.016	
936.80	0.016	
937.60	0.016	
938.50	0.017	
939.30	0.016	
940.20	0.016	
941.00	0.016	
941.80	0.016	
942.60	0.016	
943.50	0.016	
944.30	0.016	
945.10	0.016	
