Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.016	
381.30	0.017	
382.20	0.016	
383.10	0.016	
384.00	0.016	
384.90	0.016	
385.80	0.016	
386.70	0.016	
387.60	0.016	
388.50	0.016	
389.40	0.016	
390.20	0.016	
391.10	0.016	
392.00	0.016	
392.90	0.016	
393.80	0.016	
394.70	0.016	
395.60	0.016	
396.50	0.017	
397.40	0.017	
398.30	0.017	
399.10	0.017	
400.00	0.017	
400.90	0.017	
401.80	0.017	
402.70	0.016	
403.60	0.016	
404.50	0.016	
405.40	0.016	
406.30	0.017	
407.20	0.017	
408.00	0.017	
408.90	0.017	
409.80	0.017	
410.70	0.018	
411.60	0.018	
412.50	0.018	
413.40	0.018	
414.30	0.018	
415.20	0.018	
416.00	0.018	
416.90	0.018	
417.80	0.018	
418.70	0.018	
419.60	0.018	
420.50	0.018	
421.40	0.018	
422.30	0.018	
423.20	0.018	
424.10	0.018	
424.90	0.019	
425.80	0.019	
426.70	0.019	
427.60	0.019	
428.50	0.019	
429.40	0.020	
430.30	0.020	
431.20	0.020	
432.10	0.020	
433.00	0.020	
433.80	0.020	
434.70	0.020	
435.60	0.020	
436.50	0.020	
437.40	0.020	
438.30	0.021	
439.20	0.021	
440.10	0.021	
441.00	0.022	
441.90	0.022	
442.70	0.022	
443.60	0.022	
444.50	0.022	
445.40	0.022	
446.30	0.022	
447.20	0.022	
448.10	0.022	
449.00	0.022	
449.90	0.022	
450.80	0.022	
451.60	0.022	
452.50	0.022	
453.40	0.022	
454.30	0.022	
455.20	0.022	
456.10	0.022	
457.00	0.022	
457.90	0.022	
458.80	0.022	
459.60	0.022	
460.50	0.022	
461.40	0.022	
462.30	0.022	
463.20	0.022	
464.10	0.022	
465.00	0.022	
465.90	0.022	
466.80	0.022	
467.70	0.022	
468.50	0.022	
469.40	0.022	
470.30	0.022	
471.20	0.022	
472.10	0.022	
473.00	0.021	
473.90	0.021	
474.80	0.021	
475.70	0.021	
476.60	0.021	
477.40	0.021	
478.30	0.021	
479.20	0.021	
480.10	0.021	
481.00	0.021	
481.90	0.021	
482.80	0.021	
483.70	0.021	
484.60	0.021	
485.50	0.021	
486.30	0.021	
487.20	0.021	
488.10	0.021	
489.00	0.021	
489.90	0.021	
490.80	0.021	
491.70	0.021	
492.60	0.021	
493.50	0.021	
494.40	0.021	
495.20	0.021	
496.10	0.021	
497.00	0.021	
497.90	0.021	
498.80	0.021	
499.70	0.021	
500.60	0.021	
501.50	0.021	
502.40	0.021	
503.20	0.021	
504.10	0.022	
505.00	0.022	
505.90	0.022	
506.80	0.023	
507.70	0.023	
508.60	0.023	
509.50	0.023	
510.40	0.023	
511.30	0.024	
512.20	0.024	
513.00	0.024	
513.80	0.024	
514.60	0.024	
515.50	0.024	
516.30	0.024	
517.10	0.025	
517.90	0.025	
518.80	0.025	
519.60	0.026	
520.40	0.026	
521.20	0.026	
522.10	0.026	
522.90	0.027	
523.70	0.027	
524.50	0.027	
525.40	0.028	
526.20	0.028	
527.00	0.028	
527.80	0.028	
528.70	0.029	
529.50	0.029	
530.30	0.029	
531.10	0.029	
532.00	0.029	
532.80	0.029	
533.60	0.029	
534.50	0.029	
535.30	0.029	
536.10	0.029	
536.90	0.028	
537.80	0.029	
538.60	0.029	
539.40	0.029	
540.20	0.029	
541.10	0.029	
541.90	0.029	
542.70	0.029	
543.50	0.029	
544.40	0.029	
545.20	0.029	
546.00	0.029	
546.80	0.029	
547.70	0.029	
548.50	0.029	
549.30	0.029	
550.10	0.029	
551.00	0.029	
551.80	0.029	
552.60	0.029	
553.50	0.029	
554.30	0.029	
555.10	0.029	
555.90	0.029	
556.80	0.029	
557.60	0.029	
558.40	0.029	
559.20	0.029	
560.10	0.029	
560.90	0.030	
561.70	0.029	
562.50	0.030	
563.40	0.029	
564.20	0.030	
565.00	0.030	
565.80	0.030	
566.70	0.030	
567.50	0.030	
568.30	0.030	
569.10	0.031	
570.00	0.030	
570.80	0.030	
571.60	0.030	
572.40	0.030	
573.30	0.030	
574.10	0.030	
574.90	0.030	
575.80	0.030	
576.60	0.030	
577.40	0.030	
578.20	0.029	
579.10	0.029	
579.90	0.029	
580.70	0.029	
581.50	0.029	
582.40	0.029	
583.20	0.028	
584.00	0.028	
584.80	0.028	
585.70	0.028	
586.50	0.028	
587.30	0.028	
588.10	0.027	
588.90	0.027	
589.60	0.027	
590.40	0.027	
591.10	0.026	
591.90	0.026	
592.60	0.026	
593.40	0.026	
594.10	0.026	
594.90	0.026	
595.60	0.026	
596.40	0.026	
597.10	0.026	
597.90	0.026	
598.60	0.025	
599.40	0.025	
600.10	0.025	
600.90	0.024	
601.60	0.025	
602.40	0.024	
603.10	0.024	
603.90	0.024	
604.60	0.024	
605.40	0.024	
606.10	0.024	
606.90	0.024	
607.70	0.024	
608.40	0.024	
609.20	0.024	
609.90	0.024	
610.70	0.024	
611.40	0.024	
612.20	0.024	
612.90	0.024	
613.70	0.024	
614.40	0.024	
615.20	0.024	
615.90	0.024	
616.70	0.024	
617.40	0.024	
618.20	0.024	
618.90	0.024	
619.70	0.024	
620.40	0.024	
621.20	0.024	
621.90	0.024	
622.70	0.024	
623.40	0.024	
624.20	0.024	
624.90	0.024	
625.70	0.024	
626.40	0.024	
627.20	0.024	
627.90	0.024	
628.70	0.024	
629.40	0.024	
630.20	0.024	
630.90	0.023	
631.70	0.023	
632.40	0.024	
633.20	0.024	
633.90	0.023	
634.70	0.024	
635.40	0.023	
636.20	0.023	
636.90	0.024	
637.70	0.023	
638.40	0.023	
639.20	0.023	
639.90	0.023	
640.70	0.023	
641.40	0.023	
642.20	0.023	
642.90	0.023	
643.70	0.022	
644.50	0.022	
645.20	0.022	
646.00	0.022	
646.70	0.022	
647.50	0.022	
648.20	0.022	
649.00	0.022	
649.70	0.022	
650.50	0.022	
651.20	0.022	
652.00	0.021	
652.70	0.021	
653.50	0.021	
654.20	0.021	
655.00	0.021	
655.70	0.021	
656.50	0.021	
657.20	0.021	
658.00	0.021	
658.70	0.020	
659.50	0.021	
660.20	0.020	
661.00	0.020	
661.70	0.020	
662.50	0.020	
663.20	0.020	
664.00	0.020	
664.70	0.020	
665.50	0.020	
666.20	0.020	
667.00	0.020	
667.80	0.020	
668.50	0.020	
669.30	0.020	
670.00	0.020	
670.80	0.020	
671.60	0.019	
672.30	0.019	
673.10	0.019	
673.90	0.019	
674.60	0.019	
675.40	0.019	
676.20	0.019	
676.90	0.019	
677.70	0.019	
678.50	0.019	
679.20	0.020	
680.00	0.019	
680.70	0.019	
681.50	0.019	
682.30	0.019	
683.00	0.019	
683.80	0.019	
684.60	0.019	
685.30	0.019	
686.10	0.019	
686.90	0.019	
687.60	0.019	
688.40	0.019	
689.20	0.020	
689.90	0.019	
690.70	0.019	
691.50	0.019	
692.20	0.019	
693.00	0.018	
693.70	0.018	
694.50	0.018	
695.30	0.018	
696.00	0.018	
696.80	0.018	
697.60	0.018	
698.30	0.018	
699.10	0.018	
699.90	0.018	
700.60	0.018	
701.40	0.018	
702.20	0.018	
702.90	0.018	
703.70	0.018	
704.50	0.018	
705.20	0.018	
706.00	0.018	
706.80	0.018	
707.50	0.018	
708.30	0.017	
709.10	0.017	
709.90	0.017	
710.70	0.017	
711.50	0.017	
712.20	0.017	
713.00	0.017	
713.80	0.017	
714.60	0.017	
715.40	0.017	
716.20	0.017	
716.90	0.017	
717.70	0.017	
718.50	0.017	
719.30	0.017	
720.10	0.017	
720.90	0.017	
721.60	0.017	
722.40	0.017	
723.20	0.016	
724.00	0.016	
724.80	0.017	
725.60	0.017	
726.30	0.017	
727.10	0.017	
727.90	0.017	
728.70	0.017	
729.50	0.017	
730.30	0.016	
731.00	0.016	
731.80	0.016	
732.60	0.016	
733.40	0.016	
734.20	0.016	
735.00	0.016	
735.70	0.016	
736.50	0.016	
737.30	0.016	
738.10	0.016	
738.90	0.016	
739.70	0.016	
740.40	0.016	
741.20	0.016	
742.00	0.016	
742.80	0.016	
743.60	0.016	
744.40	0.016	
745.10	0.016	
745.90	0.016	
746.70	0.016	
747.50	0.016	
748.30	0.016	
749.10	0.016	
749.80	0.016	
750.60	0.016	
751.40	0.016	
752.20	0.016	
753.00	0.016	
753.80	0.016	
754.50	0.016	
755.30	0.016	
756.10	0.016	
756.90	0.015	
757.70	0.015	
758.50	0.016	
759.30	0.016	
760.00	0.016	
760.80	0.016	
761.60	0.016	
762.40	0.016	
763.20	0.016	
764.00	0.016	
764.70	0.016	
765.50	0.016	
766.30	0.016	
767.10	0.016	
767.90	0.015	
768.70	0.015	
769.40	0.015	
770.20	0.015	
771.00	0.015	
771.80	0.015	
772.60	0.015	
773.40	0.015	
774.10	0.016	
774.90	0.016	
775.70	0.016	
776.50	0.016	
777.30	0.016	
778.10	0.016	
778.80	0.016	
779.60	0.016	
780.40	0.016	
781.20	0.016	
782.00	0.016	
782.80	0.016	
783.50	0.016	
784.30	0.016	
785.10	0.016	
785.90	0.016	
786.70	0.016	
787.50	0.016	
788.20	0.016	
789.00	0.015	
789.80	0.016	
790.60	0.016	
791.40	0.016	
792.20	0.016	
792.90	0.016	
793.70	0.016	
794.50	0.016	
795.30	0.016	
796.10	0.015	
796.90	0.016	
797.60	0.016	
798.40	0.016	
799.20	0.016	
800.00	0.016	
800.80	0.015	
801.60	0.015	
802.30	0.016	
803.10	0.016	
803.90	0.016	
804.70	0.016	
805.50	0.015	
806.30	0.015	
807.10	0.015	
807.80	0.015	
808.60	0.015	
809.40	0.015	
810.20	0.015	
811.00	0.016	
811.80	0.016	
812.50	0.016	
813.30	0.016	
814.10	0.016	
814.90	0.016	
815.70	0.016	
816.50	0.016	
817.20	0.016	
818.00	0.016	
818.80	0.015	
819.60	0.015	
820.40	0.015	
821.20	0.015	
821.90	0.016	
822.70	0.016	
823.50	0.016	
824.30	0.016	
825.10	0.016	
825.90	0.016	
826.60	0.016	
827.40	0.016	
828.20	0.016	
829.00	0.016	
829.80	0.016	
830.60	0.016	
831.30	0.016	
832.20	0.016	
833.00	0.016	
833.80	0.016	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.016	
838.00	0.016	
838.80	0.016	
839.60	0.016	
840.50	0.016	
841.30	0.015	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.016	
845.40	0.016	
846.30	0.016	
847.10	0.016	
847.90	0.016	
848.80	0.016	
849.60	0.016	
850.40	0.015	
851.30	0.015	
852.10	0.015	
852.90	0.015	
853.70	0.016	
854.60	0.016	
855.40	0.016	
856.20	0.016	
857.10	0.016	
857.90	0.016	
858.70	0.016	
859.60	0.015	
860.40	0.015	
861.20	0.015	
862.10	0.015	
862.90	0.015	
863.70	0.015	
864.50	0.015	
865.40	0.015	
866.20	0.015	
867.00	0.015	
867.90	0.016	
868.70	0.016	
869.50	0.016	
870.40	0.016	
871.20	0.016	
872.00	0.015	
872.80	0.015	
873.70	0.015	
874.50	0.015	
875.30	0.015	
876.20	0.015	
877.00	0.015	
877.80	0.015	
878.70	0.015	
879.50	0.015	
880.30	0.015	
881.20	0.015	
882.00	0.016	
882.80	0.016	
883.60	0.016	
884.50	0.016	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.015	
892.80	0.016	
893.60	0.015	
894.40	0.015	
895.30	0.015	
896.10	0.016	
896.90	0.016	
897.80	0.016	
898.60	0.016	
899.40	0.016	
