Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.016	
381.30	0.016	
382.20	0.017	
383.10	0.016	
384.00	0.017	
384.90	0.016	
385.80	0.017	
386.70	0.017	
387.60	0.017	
388.50	0.017	
389.40	0.017	
390.20	0.016	
391.10	0.017	
392.00	0.016	
392.90	0.016	
393.80	0.016	
394.70	0.016	
395.60	0.016	
396.50	0.016	
397.40	0.016	
398.30	0.016	
399.10	0.017	
400.00	0.017	
400.90	0.017	
401.80	0.017	
402.70	0.017	
403.60	0.017	
404.50	0.017	
405.40	0.017	
406.30	0.017	
407.20	0.017	
408.00	0.017	
408.90	0.017	
409.80	0.018	
410.70	0.018	
411.60	0.018	
412.50	0.018	
413.40	0.018	
414.30	0.018	
415.20	0.018	
416.00	0.018	
416.90	0.018	
417.80	0.018	
418.70	0.019	
419.60	0.019	
420.50	0.019	
421.40	0.019	
422.30	0.019	
423.20	0.019	
424.10	0.019	
424.90	0.020	
425.80	0.020	
426.70	0.020	
427.60	0.021	
428.50	0.020	
429.40	0.021	
430.30	0.021	
431.20	0.021	
432.10	0.021	
433.00	0.021	
433.80	0.021	
434.70	0.022	
435.60	0.022	
436.50	0.022	
437.40	0.022	
438.30	0.022	
439.20	0.022	
440.10	0.022	
441.00	0.022	
441.90	0.022	
442.70	0.023	
443.60	0.023	
444.50	0.023	
445.40	0.023	
446.30	0.023	
447.20	0.023	
448.10	0.023	
449.00	0.023	
449.90	0.023	
450.80	0.024	
451.60	0.024	
452.50	0.024	
453.40	0.024	
454.30	0.024	
455.20	0.024	
456.10	0.024	
457.00	0.023	
457.90	0.024	
458.80	0.024	
459.60	0.024	
460.50	0.024	
461.40	0.024	
462.30	0.024	
463.20	0.024	
464.10	0.024	
465.00	0.024	
465.90	0.024	
466.80	0.024	
467.70	0.024	
468.50	0.024	
469.40	0.024	
470.30	0.024	
471.20	0.024	
472.10	0.024	
473.00	0.024	
473.90	0.024	
474.80	0.024	
475.70	0.024	
476.60	0.025	
477.40	0.025	
478.30	0.025	
479.20	0.025	
480.10	0.026	
481.00	0.026	
481.90	0.026	
482.80	0.026	
483.70	0.026	
484.60	0.026	
485.50	0.026	
486.30	0.026	
487.20	0.026	
488.10	0.026	
489.00	0.026	
489.90	0.025	
490.80	0.026	
491.70	0.025	
492.60	0.025	
493.50	0.025	
494.40	0.025	
495.20	0.025	
496.10	0.025	
497.00	0.026	
497.90	0.026	
498.80	0.026	
499.70	0.026	
500.60	0.026	
501.50	0.026	
502.40	0.026	
503.20	0.026	
504.10	0.026	
505.00	0.026	
505.90	0.027	
506.80	0.027	
507.70	0.027	
508.60	0.027	
509.50	0.027	
510.40	0.027	
511.30	0.027	
512.20	0.028	
513.00	0.028	
513.80	0.028	
514.60	0.028	
515.50	0.028	
516.30	0.028	
517.10	0.028	
517.90	0.029	
518.80	0.029	
519.60	0.029	
520.40	0.028	
521.20	0.028	
522.10	0.028	
522.90	0.028	
523.70	0.028	
524.50	0.028	
525.40	0.028	
526.20	0.028	
527.00	0.028	
527.80	0.028	
528.70	0.028	
529.50	0.028	
530.30	0.028	
531.10	0.027	
532.00	0.027	
532.80	0.027	
533.60	0.027	
534.50	0.027	
535.30	0.027	
536.10	0.027	
536.90	0.026	
537.80	0.026	
538.60	0.025	
539.40	0.025	
540.20	0.025	
541.10	0.025	
541.90	0.025	
542.70	0.025	
543.50	0.025	
544.40	0.025	
545.20	0.025	
546.00	0.025	
546.80	0.025	
547.70	0.025	
548.50	0.025	
549.30	0.025	
550.10	0.025	
551.00	0.025	
551.80	0.025	
552.60	0.025	
553.50	0.025	
554.30	0.025	
555.10	0.025	
555.90	0.025	
556.80	0.025	
557.60	0.025	
558.40	0.025	
559.20	0.025	
560.10	0.025	
560.90	0.025	
561.70	0.025	
562.50	0.025	
563.40	0.025	
564.20	0.025	
565.00	0.025	
565.80	0.025	
566.70	0.025	
567.50	0.025	
568.30	0.025	
569.10	0.025	
570.00	0.025	
570.80	0.024	
571.60	0.024	
572.40	0.025	
573.30	0.025	
574.10	0.024	
574.90	0.024	
575.80	0.025	
576.60	0.025	
577.40	0.025	
578.20	0.025	
579.10	0.024	
579.90	0.025	
580.70	0.025	
581.50	0.024	
582.40	0.025	
583.20	0.024	
584.00	0.024	
584.80	0.024	
585.70	0.024	
586.50	0.024	
587.30	0.024	
588.10	0.023	
588.90	0.023	
589.60	0.023	
590.40	0.023	
591.10	0.023	
591.90	0.023	
592.60	0.023	
593.40	0.022	
594.10	0.022	
594.90	0.022	
595.60	0.022	
596.40	0.022	
597.10	0.022	
597.90	0.022	
598.60	0.022	
599.40	0.022	
600.10	0.022	
600.90	0.022	
601.60	0.022	
602.40	0.022	
603.10	0.022	
603.90	0.021	
604.60	0.021	
605.40	0.021	
606.10	0.021	
606.90	0.021	
607.70	0.021	
608.40	0.021	
609.20	0.021	
609.90	0.022	
610.70	0.021	
611.40	0.021	
612.20	0.021	
612.90	0.021	
613.70	0.021	
614.40	0.021	
615.20	0.021	
615.90	0.021	
616.70	0.022	
617.40	0.022	
618.20	0.022	
618.90	0.021	
619.70	0.021	
620.40	0.021	
621.20	0.021	
621.90	0.021	
622.70	0.021	
623.40	0.021	
624.20	0.021	
624.90	0.021	
625.70	0.021	
626.40	0.021	
627.20	0.021	
627.90	0.022	
628.70	0.022	
629.40	0.021	
630.20	0.021	
630.90	0.021	
631.70	0.021	
632.40	0.021	
633.20	0.021	
633.90	0.021	
634.70	0.021	
635.40	0.021	
636.20	0.021	
636.90	0.021	
637.70	0.021	
638.40	0.021	
639.20	0.021	
639.90	0.021	
640.70	0.021	
641.40	0.021	
642.20	0.021	
642.90	0.020	
643.70	0.020	
644.50	0.021	
645.20	0.021	
646.00	0.020	
646.70	0.021	
647.50	0.020	
648.20	0.020	
649.00	0.020	
649.70	0.020	
650.50	0.020	
651.20	0.020	
652.00	0.020	
652.70	0.020	
653.50	0.020	
654.20	0.019	
655.00	0.019	
655.70	0.019	
656.50	0.019	
657.20	0.020	
658.00	0.020	
658.70	0.019	
659.50	0.020	
660.20	0.020	
661.00	0.019	
661.70	0.019	
662.50	0.019	
663.20	0.019	
664.00	0.019	
664.70	0.019	
665.50	0.019	
666.20	0.019	
667.00	0.019	
667.80	0.019	
668.50	0.019	
669.30	0.019	
670.00	0.019	
670.80	0.018	
671.60	0.018	
672.30	0.018	
673.10	0.018	
673.90	0.018	
674.60	0.018	
675.40	0.018	
676.20	0.018	
676.90	0.018	
677.70	0.018	
678.50	0.018	
679.20	0.018	
680.00	0.018	
680.70	0.018	
681.50	0.018	
682.30	0.018	
683.00	0.018	
683.80	0.018	
684.60	0.018	
685.30	0.018	
686.10	0.018	
686.90	0.018	
687.60	0.018	
688.40	0.018	
689.20	0.018	
689.90	0.018	
690.70	0.018	
691.50	0.018	
692.20	0.018	
693.00	0.018	
693.70	0.018	
694.50	0.018	
695.30	0.018	
696.00	0.018	
696.80	0.018	
697.60	0.018	
698.30	0.018	
699.10	0.017	
699.90	0.017	
700.60	0.017	
701.40	0.017	
702.20	0.017	
702.90	0.017	
703.70	0.017	
704.50	0.017	
705.20	0.017	
706.00	0.017	
706.80	0.017	
707.50	0.017	
708.30	0.017	
709.10	0.017	
709.90	0.017	
710.70	0.017	
711.50	0.017	
712.20	0.017	
713.00	0.017	
713.80	0.017	
714.60	0.017	
715.40	0.017	
716.20	0.016	
716.90	0.016	
717.70	0.016	
718.50	0.016	
719.30	0.017	
720.10	0.017	
720.90	0.017	
721.60	0.016	
722.40	0.016	
723.20	0.016	
724.00	0.016	
724.80	0.016	
725.60	0.016	
726.30	0.016	
727.10	0.016	
727.90	0.016	
728.70	0.016	
729.50	0.016	
730.30	0.016	
731.00	0.016	
731.80	0.016	
732.60	0.016	
733.40	0.016	
734.20	0.016	
735.00	0.016	
735.70	0.016	
736.50	0.016	
737.30	0.016	
738.10	0.016	
738.90	0.016	
739.70	0.016	
740.40	0.016	
741.20	0.016	
742.00	0.016	
742.80	0.016	
743.60	0.016	
744.40	0.016	
745.10	0.016	
745.90	0.016	
746.70	0.016	
747.50	0.016	
748.30	0.016	
749.10	0.016	
749.80	0.016	
750.60	0.016	
751.40	0.016	
752.20	0.016	
753.00	0.015	
753.80	0.016	
754.50	0.016	
755.30	0.016	
756.10	0.016	
756.90	0.016	
757.70	0.016	
758.50	0.016	
759.30	0.016	
760.00	0.016	
760.80	0.016	
761.60	0.016	
762.40	0.016	
763.20	0.016	
764.00	0.016	
764.70	0.016	
765.50	0.016	
766.30	0.016	
767.10	0.016	
767.90	0.016	
768.70	0.015	
769.40	0.016	
770.20	0.015	
771.00	0.016	
771.80	0.016	
772.60	0.016	
773.40	0.016	
774.10	0.016	
774.90	0.016	
775.70	0.016	
776.50	0.016	
777.30	0.016	
778.10	0.016	
778.80	0.016	
779.60	0.017	
780.40	0.016	
781.20	0.017	
782.00	0.017	
782.80	0.017	
783.50	0.016	
784.30	0.016	
785.10	0.016	
785.90	0.016	
786.70	0.016	
787.50	0.016	
788.20	0.016	
789.00	0.016	
789.80	0.016	
790.60	0.016	
791.40	0.016	
792.20	0.015	
792.90	0.015	
793.70	0.016	
794.50	0.015	
795.30	0.015	
796.10	0.016	
796.90	0.016	
797.60	0.016	
798.40	0.016	
799.20	0.016	
800.00	0.016	
800.80	0.016	
801.60	0.016	
802.30	0.016	
803.10	0.016	
803.90	0.016	
804.70	0.016	
805.50	0.016	
806.30	0.016	
807.10	0.016	
807.80	0.016	
808.60	0.016	
809.40	0.016	
810.20	0.016	
811.00	0.016	
811.80	0.016	
812.50	0.015	
813.30	0.015	
814.10	0.016	
814.90	0.016	
815.70	0.016	
816.50	0.016	
817.20	0.016	
818.00	0.016	
818.80	0.016	
819.60	0.016	
820.40	0.016	
821.20	0.016	
821.90	0.016	
822.70	0.016	
823.50	0.016	
824.30	0.016	
825.10	0.016	
825.90	0.016	
826.60	0.017	
827.40	0.017	
828.20	0.016	
829.00	0.016	
829.80	0.016	
830.60	0.016	
831.30	0.016	
832.20	0.016	
833.00	0.016	
833.80	0.016	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.016	
838.00	0.016	
838.80	0.016	
839.60	0.016	
840.50	0.016	
841.30	0.016	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.016	
845.40	0.016	
846.30	0.016	
847.10	0.016	
847.90	0.015	
848.80	0.016	
849.60	0.016	
850.40	0.016	
851.30	0.016	
852.10	0.016	
852.90	0.016	
853.70	0.016	
854.60	0.016	
855.40	0.015	
856.20	0.015	
857.10	0.015	
857.90	0.016	
858.70	0.016	
859.60	0.016	
860.40	0.016	
861.20	0.016	
862.10	0.016	
862.90	0.016	
863.70	0.016	
864.50	0.016	
865.40	0.016	
866.20	0.016	
867.00	0.016	
867.90	0.016	
868.70	0.016	
869.50	0.015	
870.40	0.016	
871.20	0.016	
872.00	0.016	
872.80	0.016	
873.70	0.016	
874.50	0.016	
875.30	0.016	
876.20	0.016	
877.00	0.016	
877.80	0.016	
878.70	0.016	
879.50	0.015	
880.30	0.016	
881.20	0.015	
882.00	0.016	
882.80	0.016	
883.60	0.016	
884.50	0.016	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.016	
892.80	0.016	
893.60	0.016	
894.40	0.016	
895.30	0.016	
896.10	0.016	
896.90	0.016	
897.80	0.016	
898.60	0.016	
899.40	0.016	
